Wall time,Step,Reward
1715259150,512,-249.155365
1715259197,640,-234.2368164
1715259470,1408,-228.2041626
1715259654,1920,-226.0382233
1715259700,2048,-223.4395905
1715259840,2432,-219.0161285
1715259881,2560,-223.5613861
1715259931,2688,-221.6588593
1715260018,2944,-219.7163544
1715260064,3072,-219.2638245
1715260207,3456,-219.2626495
1715260263,3584,-220.3462677
1715260737,4992,-226.7056427
1715260827,5248,-230.892746
1715261120,6144,-236.0135956
1715261161,6272,-236.6016235
1715261205,6400,-236.5524292
1715261295,6656,-237.6043549
1715261432,7040,-234.4133301
1715261566,7424,-235.4237366
1715261690,7808,-235.1766205
1715261734,7936,-235.4783173
1715261772,8064,-237.4499359
1715261824,8192,-237.1084137
1715261909,8448,-231.621109
1715261958,8576,-230.6175385
1715262005,8704,-228.372406
1715262048,8832,-228.7944183
1715262124,9088,-228.6192474
1715262167,9216,-232.7166748
1715262435,9984,-228.1058807
1715262513,10240,-230.1797028
1715262554,10368,-232.372467
1715262638,10624,-233.8041077
1715262769,11008,-237.9362335
1715262937,11520,-239.8059235
1715263374,12800,-230.6347809
1715263420,12928,-229.4415131
1715263542,13312,-231.9924316
1715263676,13696,-230.6143341
1715263714,13824,-232.7389984
1715263807,14080,-231.7270203
1715264100,14976,-235.7905731
1715264330,15616,-231.9664917
1715264511,16128,-233.71875
1715264551,16256,-234.1074219
1715264630,16512,-233.9469757
1715264702,16768,-235.9520111
1715264742,16896,-236.8124542
1715264943,17536,-247.3030548
1715264986,17664,-249.8199768
1715265270,18560,-247.578476
1715265343,18816,-249.2447357
1715265386,18944,-248.0062561
1715265505,19328,-245.0271912
1715265802,20224,-235.5942078
1715265920,20608,-239.7087555
1715265996,20864,-240.9006042
1715266071,21120,-243.5514832
1715266321,21888,-244.5552368
1715266364,22016,-243.8411102
1715266405,22144,-246.1518707
1715266521,22528,-250.0835876
1715266555,22656,-249.7991486
1715266593,22784,-255.1393738
1715266755,23296,-250.817215
1715266865,23680,-253.7522125
1715266906,23808,-248.6355286
1715266946,23936,-247.5883789
1715267103,24448,-249.0134125
1715267149,24576,-248.8479156
1715267187,24704,-246.9988403
1715267465,25600,-238.8542175
1715267572,25984,-244.1417999
1715267607,26112,-243.2401733
1715267644,26240,-242.8640594
1715267679,26368,-246.0863495
1715267754,26624,-246.085434
1715267833,26880,-252.2429199
1715267911,27136,-250.5893402
1715267989,27392,-247.5383453
1715268064,27648,-249.9401855
1715268099,27776,-249.4809418
1715268212,28160,-259.362915
1715268252,28288,-258.413269
1715268302,28416,-258.1694946
1715268343,28544,-253.4328461
1715268421,28800,-254.3754883
1715268612,29440,-250.2002869
1715268997,30720,-248.0666351
1715269069,30976,-247.8203125
1715269182,31360,-246.1560822
1715269220,31488,-249.0727386
1715269269,31616,-247.8860321
1715269582,32640,-242.7785034
1715269727,33152,-246.1123047
1715269767,33280,-244.999588
1715269802,33408,-243.9025116
1715269886,33664,-242.6514893
1715270172,34688,-245.7834473
1715270213,34816,-249.1049805
1715270337,35200,-248.6256561
1715270410,35456,-249.9731598
1715270485,35712,-251.9550781
1715270551,35968,-251.5529785
1715270626,36224,-251.9693451
1715270658,36352,-254.6627808
1715270745,36608,-250.6350555
1715270820,36864,-248.6288452
1715270858,36992,-247.2847595
1715270924,37248,-246.0283356
1715271106,37888,-239.7316742
1715271141,38016,-239.6366882
1715271173,38144,-240.8215942
1715271216,38272,-238.49263
1715271508,39296,-241.852005
1715271580,39552,-239.2270966
1715271618,39680,-235.4766693
1715271725,40064,-237.4221344
1715271869,40576,-239.9219818
1715271941,40832,-238.221817
1715271976,40960,-237.4819489
1715272089,41344,-241.1223145
1715272167,41600,-239.6819458
1715272352,42240,-234.6343842
1715272421,42496,-236.1515656
1715272456,42624,-238.6561127
1715272641,43264,-233.3733215
1715272682,43392,-226.7136078
1715272754,43648,-227.7737427
1715272864,44032,-226.5904388
1715272942,44288,-224.4606171
1715272980,44416,-223.7473297
1715273124,44928,-231.3504944
1715273196,45184,-232.5850067
1715273271,45440,-232.3694305
1715273410,45952,-234.8793488
1715273557,46464,-235.568573
1715273595,46592,-232.6287842
1715273627,46720,-233.181488
1715273661,46848,-235.3961029
1715273699,46976,-237.8768768
1715273730,47104,-237.0855713
1715273988,48000,-233.5809021
1715274092,48384,-229.3032379
1715274126,48512,-230.5948486
1715274415,49536,-231.6378479
1715274550,50048,-228.2673035
1715274585,50176,-227.4801636
1715274617,50304,-230.1042175
1715274654,50432,-229.6264801
1715274692,50560,-229.1838989
1715274793,50944,-230.9405975
1715274969,51584,-236.4049225
1715275050,51840,-233.625
1715275188,52352,-231.703476
1715275226,52480,-230.5464325
1715275371,52992,-230.3705139
1715275405,53120,-230.2372589
1715275437,53248,-231.8655243
1715275535,53632,-232.9608459
1715275647,54016,-231.9510803
1715275685,54144,-229.2181854
1715275789,54528,-230.8540649
1715275829,54656,-227.8623199
1715275968,55168,-224.8948212
1715276138,55808,-228.5268402
1715276170,55936,-230.7157288
1715276207,56064,-229.6404877
1715276279,56320,-231.4753571
1715276314,56448,-232.9171295
1715276352,56576,-230.6899109
1715276424,56832,-226.0942993
1715276458,56960,-224.763092
1715276490,57088,-225.8155823
1715276531,57216,-221.5948181
1715276669,57728,-219.4897003
1715276738,57984,-222.7175903
1715276770,58112,-223.951889
1715276802,58240,-227.0536346
1715276874,58496,-229.1707611
1715277009,59008,-230.0767365
1715277050,59136,-228.2314148
1715277188,59648,-223.8483124
1715277226,59776,-223.7665253
1715277292,60032,-222.4813843
1715277358,60288,-223.5154266
1715277497,60800,-225.0696411
1715277528,60928,-225.3415375
1715277629,61312,-228.4398041
1715277664,61440,-226.232193
1715277698,61568,-226.892868
1715277730,61696,-227.5607452
1715277796,61952,-224.9428253
1715277831,62080,-225.6534882
1715277932,62464,-226.3148499
1715277966,62592,-224.465683
1715278001,62720,-222.8517303
1715278073,62976,-215.3114166
1715278180,63360,-213.3389893
1715278309,63872,-216.2870026
1715278451,64384,-216.4537354
1715278482,64512,-216.8562469
1715278583,64896,-215.9714203
1715278687,65280,-213.5562439
1715278722,65408,-213.9386139
1715278756,65536,-214.2191772
1715278791,65664,-215.7166443
1715278826,65792,-213.3696136
1715278860,65920,-214.3830872
1715278970,66304,-213.9958954
1715279005,66432,-214.1248779
1715279039,66560,-212.4343414
1715279077,66688,-209.699646
1715279178,67072,-210.099762
1715279420,67968,-207.2550354
1715279518,68352,-209.0753326
1715279549,68480,-208.9893188
1715279625,68736,-207.1831055
1715279656,68864,-206.9007416
1715279691,68992,-203.3592377
1715279757,69248,-203.5362091
1715279826,69504,-202.6650543
1715279892,69760,-202.984787
1715279959,70016,-201.5562439
1715279993,70144,-201.0738373
1715280094,70528,-203.4431305
1715280157,70784,-204.9247742
1715280258,71168,-204.0513763
1715280290,71296,-203.3598328
1715280497,72064,-204.3736572
1715280529,72192,-205.6154633
1715280561,72320,-204.7817535
1715280693,72832,-206.8069611
1715280797,73216,-203.6318817
1715280863,73472,-207.4044342
1715280967,73856,-207.0797729
1715281096,74368,-208.5350647
1715281226,74880,-209.6503754
1715281257,75008,-212.2684937
1715281289,75136,-211.4851074
1715281355,75392,-211.230011
1715281421,75648,-210.1583557
1715281453,75776,-209.1421814
1715281485,75904,-209.4120789
1715281548,76160,-208.893692
1715281614,76416,-207.894577
1715281652,76544,-207.1243134
1715281683,76672,-208.6018066
1715281715,76800,-208.2801361
