Wall time,Step,Reward
1715481041,512,-5.823801517
1715481088,640,-3.334363699
1715481353,1408,-3.121860027
1715481521,1920,-5.250150681
1715481565,2048,-4.901504993
1715481693,2432,-8.08699894
1715481736,2560,-7.287213802
1715481780,2688,-7.009827137
1715481867,2944,-8.488838196
1715481911,3072,-10.63262081
1715482045,3456,-6.15692234
1715482091,3584,-5.945248127
1715482574,4992,-0.240362868
1715482661,5248,0.220784202
1715482967,6144,-0.8421731
1715483010,6272,-1.21988368
1715483054,6400,-1.820756197
1715483144,6656,-0.656494021
1715483281,7040,0.877874911
1715483412,7424,2.211607456
1715483540,7808,1.62720418
1715483583,7936,1.971469998
1715483624,8064,0.88404274
1715483668,8192,-0.240726367
1715483752,8448,-0.123046018
1715483795,8576,-0.599303186
1715483845,8704,0.7939412
1715483889,8832,-0.616079092
1715483973,9088,-3.32309413
1715484017,9216,-4.232041359
1715484272,9984,-5.299958706
1715484360,10240,-4.628480434
1715484403,10368,-3.895558119
1715484490,10624,-3.93330121
1715484621,11008,-5.146902561
1715484799,11520,-0.680061996
1715485244,12800,8.133132935
1715485285,12928,7.624902725
1715485415,13312,4.525115013
1715485549,13696,4.557054043
1715485593,13824,4.851516247
1715485683,14080,3.29536891
1715485995,14976,-0.825691223
1715486219,15616,2.529953003
1715486396,16128,4.668756485
1715486440,16256,3.750439882
1715486527,16512,4.186644554
1715486614,16768,7.423845291
1715486658,16896,8.497104645
1715486882,17536,7.909948826
1715486926,17664,7.677959919
1715487228,18560,6.68574667
1715487315,18816,5.52252388
1715487356,18944,5.425813675
1715487490,19328,4.193847656
1715487801,20224,5.473744392
1715487932,20608,5.992704868
1715488019,20864,5.285875797
1715488106,21120,5.484436512
1715488368,21888,5.977574348
1715488415,22016,6.635302544
1715488458,22144,5.893312931
1715488592,22528,7.540013313
1715488636,22656,7.676417828
1715488679,22784,8.093351364
1715488860,23296,10.74428272
1715488997,23680,13.06757641
1715489040,23808,13.39918995
1715489087,23936,13.35087967
1715489259,24448,10.37467384
1715489302,24576,9.28908062
1715489346,24704,10.31921291
1715489654,25600,8.481276512
1715489788,25984,6.395720005
1715489832,26112,7.236330986
1715489875,26240,7.071219444
1715489919,26368,8.01492691
1715490006,26624,7.793377399
1715490093,26880,7.074117184
1715490178,27136,5.700540543
1715490265,27392,5.812547207
1715490352,27648,7.84635067
1715490396,27776,6.569237709
1715490527,28160,7.958987713
1715490573,28288,7.737177372
1715490617,28416,8.552733421
1715490660,28544,9.44140625
1715490748,28800,10.48850632
1715490969,29440,10.97993565
1715491411,30720,10.50926399
1715491498,30976,10.67469597
1715491632,31360,11.7818594
1715491676,31488,12.94246578
1715491725,31616,12.5197382
1715492068,32640,10.4408226
1715492255,33152,13.53486252
1715492298,33280,14.3460741
1715492342,33408,14.10492516
1715492435,33664,15.77375603
1715492796,34688,22.65781403
1715492840,34816,21.39282608
1715492977,35200,20.92405701
1715493061,35456,20.28126144
1715493151,35712,19.70389366
1715493238,35968,17.62619591
1715493326,36224,17.35581398
1715493372,36352,15.80806923
1715493460,36608,15.69985104
1715493550,36864,16.31857872
