t,x,y,z,roll,pitch,yaw,v_x,v_y,v_z,ref_x,ref_y,ref_z,ref_v_x,ref_v_y,ref_v_z,a_com,a_x,a_y,a_z,thrust,wind_x,wind_y,wind_z
0.0,0.95621657371521,-1.0177385807037354,2.8268468379974365,0.0493130993759628,0.1031633536403275,0.0049463681880161,-0.0146462023258209,0.036976933479309,-0.0076550245285034,0.9557229653000832,-1.0162127017974854,2.826650381088257,-0.116719551384449,0.1451040282845497,-0.1070381179451942,2.025095215436869,-0.7323101162910461,1.848846673965454,-0.3827512264251709,11.196350732736846,-0.9851305308579944,0.2191813752419985,-0.9874547859115068
0.02,0.9559551477432252,-1.0169317722320557,2.8261218070983887,0.0531293142703495,0.1040239514501504,0.0044111000239894,-0.0150632858276367,0.0380444526672363,-0.0190865993499755,0.9554842635989188,-1.01588973402977,2.826464086771012,-0.114646203815937,0.1369769349694252,-0.1076550260186195,0.5744442069578999,-0.0208541750907897,0.0533759593963623,-0.5715787410736084,9.532842595206604,-0.968651130838028,0.2057790797476603,-0.9282453363656376
0.04,0.9558837413787842,-1.017065405845642,2.8263931274414062,0.032305392800466,0.1030419366889866,0.0011541211267041,-0.0119036436080932,0.0178340077400207,-0.003095269203186,0.9554842635989188,-1.01588973402977,2.826464086771012,-0.114646203815937,0.1369769349694252,-0.1076550260186195,1.2982373270854175,0.1579821109771728,-1.0105222463607788,0.7995665073394775,9.503490616740237,-1.018226246380828,0.2676506964047692,-1.1343120347791888
0.06,0.955717146396637,-1.016765832901001,2.8261473178863525,0.0443830989116962,0.1022388763538009,0.0010027917069606,-0.008624643087387,0.0100100040435791,-0.0037175416946411,0.9554842635989188,-1.01588973402977,2.826464086771012,-0.114646203815937,0.1369769349694252,-0.1076550260186195,0.4253060701140582,0.1639500260353088,-0.3912001848220825,-0.0311136245727539,9.074520298819609,-1.01551213998084,0.1552104787807443,-1.0361691053349265
0.08,0.9555784463882446,-1.016603946685791,2.825692892074585,0.0284795273157289,0.0941285820517245,-0.0022069205076161,-0.0068691372871398,0.0103828310966491,-0.015755295753479,0.9543378015607596,-1.0145199646800755,2.825387536510825,-0.1346462041139602,0.1569769352674484,-0.1276550263166427,0.608539898871205,0.0877752900123596,0.0186413526535034,-0.6018877029418945,9.074520298819609,-0.9891050685682043,0.1638040489304371,-0.9750123435093464
0.1,0.955322563648224,-1.0164014101028442,2.8251678943634038,-0.0124299404925309,0.0703117959973102,-0.008474829097383,-0.0088781118392944,0.0081995129585266,-0.0220370292663574,0.9520448774844408,-1.011780425980687,2.823234435990453,-0.1746462047100067,0.1969769358634948,-0.1676550269126892,0.3473580025358539,-0.100448727607727,-0.1091659069061279,-0.3140866756439209,8.908513112233322,-0.9807144426672486,0.1825887038181703,-1.051095983305169
0.12,0.9550882577896118,-1.016071081161499,2.8242204189300537,-0.0201804646945915,0.0569623856120192,-0.0123350690332251,-0.0110292434692382,0.0119894742965698,-0.0331306457519531,0.949751953408122,-1.0090408872812986,2.821081335470081,-0.2146462053060531,0.2369769364595413,-0.2076550275087356,0.5959435815634898,-0.1075565814971923,0.1894980669021606,-0.5546808242797852,8.790902357431605,-0.960698683698878,0.1309776594109155,-0.9387543214371032
0.14,0.9549208283424376,-1.0159190893173218,2.8238091468811035,-0.0733160410735225,0.0140640119725002,-0.0165946446155062,-0.0117802619934082,0.0126305222511291,-0.0380390882492065,0.945459029302001,-1.0043013485521075,2.8169282349199056,-0.2546462059020996,0.2769769370555877,-0.2476550281047821,0.2503386658735244,-0.037550926208496,0.0320523977279663,-0.2454221248626709,8.922856654394309,-0.9160415882561508,0.1159159024354101,-0.8364666751851991
0.16,0.9543310403823853,-1.0153119564056396,2.8221006393432617,-0.0694180048663791,0.0114994399134735,-0.019500859653423,-0.0216132402420043,0.0214120745658874,-0.0625759363174438,0.94116610519588,-0.999561809822917,2.812775134369731,-0.2946462064981461,0.3169769376516342,-0.2876550287008286,1.3927132111619065,-0.4916489124298095,0.439077615737915,-1.2268424034118652,8.766362161773941,-0.8196134605450487,0.0280332879791205,-0.6739675498593936
0.18,0.9533089399337769,-1.014320969581604,2.8200080394744877,-0.1018287781425162,-0.0201075864969696,-0.0229106586324731,-0.0362674891948699,0.0359576940536499,-0.0855249166488647,0.9358731810748576,-0.9938222710788248,2.807622033804656,-0.3346462070941925,0.3569769382476807,-0.327655029296875,1.5435168908269843,-0.73271244764328,0.7272809743881226,-1.147449016571045,8.766362161773941,-0.7747163775845421,-0.0163048506392649,-0.5857792526846558
