t,x,y,z,roll,pitch,yaw,v_x,v_y,v_z,ref_x,ref_y,ref_z,ref_v_x,ref_v_y,ref_v_z,a_com,a_x,a_y,a_z,thrust,wind_x,wind_y,wind_z
0.0,-0.0096833408208433,-2.4587961705519463,1.9768376582814853,0.0236943428995297,0.0994882224619361,0.0417225415047916,-0.0003573177261495,0.0078159797536957,-0.0002219148485638,-0.0096874272246595,-2.4586501548965813,1.9768285576238056,0.0870471292704152,0.1056577444270788,-0.0603190327135992,0.3913644773980359,-0.0178658863074771,0.3907989876847857,-0.0110957424281909,10.25517696035331,-0.9412646648641576,0.2591766241519251,-0.876037590886672
0.02,-0.009770163779559,-2.458924446410994,1.976763114536056,0.0165509209799024,0.1022955226245568,0.0412950301486098,-0.0081061959319913,-0.0162744975675745,-0.0074007837802363,-0.0096874272246595,-2.4586501548965813,1.9768285576238056,0.0870471292704152,0.1056577444270788,-0.0603190327135992,1.3152303697011969,-0.3874439102920896,-1.2045238660635118,-0.3589434465836275,10.25517696035331,-0.9297820644661036,0.2595102211963508,-0.8920785708544321
0.04,-0.0099769407299069,-2.459271390195683,1.9764990643737184,0.0013564946451238,0.1090176276054113,0.040323503977015,-0.0127796136703274,-0.017977363876989,-0.0200016410546557,-0.0096874272246595,-2.4586501548965813,1.9768285576238056,0.0870471292704152,0.1056577444270788,-0.0603190327135992,0.6773518123453681,-0.2336708869168038,-0.0851433154707285,-0.6300428637209702,9.918736648351569,-0.9238141314526396,0.2708011740960605,-0.8968844531947555
0.06,-0.0102494304104105,-2.4595654420974493,1.9759533267187943,-0.0156984783302437,0.118156450728744,0.0391151289620473,-0.0138115961076613,-0.0108705838552079,-0.0339593750909949,-0.0088169559319553,-2.4575935774523106,1.9762253672966696,0.1044956737726735,0.1256577447251021,-0.0723264122454596,0.7848401898764686,-0.051599121866697,0.3553390010890557,-0.6978867018169562,9.498494633578956,-0.9130174570906072,0.2819315247168825,-0.9076926958195712
0.08,-0.0105055894736416,-2.4596681884255798,1.9751315015623003,-0.0322480231192662,0.1281325235531297,0.0377854923299049,-0.0114145755471431,0.0006292331649699,-0.0475469835207168,-0.007076013346547,-2.455480422563769,1.9750189866423973,0.1393927627771901,0.1656577453211485,-0.0963411713091803,0.8980737746763516,0.119851028025911,0.5749908510088968,-0.6793804214860973,9.498494633578956,-0.90087066119737,0.2929957423632023,-0.9186689009675356
0.1,-0.0106823429207881,-2.459499558643084,1.9740457008883516,-0.0479016991085542,0.1382327657858486,0.0363698896331955,-0.0060935786421569,0.0159218385871609,-0.0604302118222785,-0.0053350707611387,-2.4533672676752274,1.9738126059881256,0.1742898517817067,0.205657745917195,-0.120355930372901,1.034594558428393,0.2660498452493086,0.7646302711095481,-0.6441614150780841,9.547397278611244,-0.8873783021837871,0.3050112401903497,-0.9294606270869724
0.12,-0.0107282229091997,-2.4590043823350136,1.9727793282255213,-0.0611509343607437,0.147603261956171,0.0350280897910483,0.0012404309450268,0.0351551414509179,-0.0722803253819232,-0.0018492737255046,-2.449254112756884,1.971405487380668,0.2091869407862233,0.2456577465132414,-0.1443706894366217,1.187574026166773,0.3667004793591922,0.9616651431878496,-0.5925056779822382,9.614480476270728,-0.8738435016825479,0.3169005597993183,-0.9386530567050833
0.14,-0.0106031343502308,-2.458060413721304,1.9712036310285588,-0.0729246471735238,0.1570571832225247,0.0336906579547117,0.0111398376324519,0.0580607266066691,-0.0846880902384448,0.0016365233101294,-2.44514095783854,1.9689983687732096,0.2440840297907399,0.2856577471092879,-0.1683854485003424,1.393392185302774,0.4949703343712542,1.1452792577875597,-0.6203882428260754,9.676349932778066,-0.8602169007537903,0.3277517926001186,-0.9470535336170928
0.16,-0.0102582851622327,-2.456622973260896,1.9693822565847332,-0.0821029123601186,0.1660142140631996,0.0324952986480383,0.0231005505523379,0.0839142720877742,-0.0968491794377771,0.0059947475708765,-2.440027802905295,1.9659908811891589,0.2789811187952565,0.3256577477053343,-0.1924002075640631,1.548674076435726,0.5980356459943014,1.2926772740552583,-0.6080544599666171,9.718270984993978,-0.8475875171198952,0.3367253929500566,-0.954103791875056
0.18,-0.0096905519879864,-2.4547632094874703,1.9674290742796283,-0.0883834955566542,0.174040239927748,0.0315267905180684,0.0362700636351445,0.1099655353390941,-0.1081422981545524,0.0112253990567365,-2.4339146479571485,1.9623830246285143,0.3138782077997731,0.3656577483013807,-0.2164149666277838,1.5649592024865726,0.6584756541403293,1.302563162565993,-0.5646559358387669,9.76955641951008,-0.8349418381411432,0.3445586810141899,-0.9605578339645592
