t,x,y,z,roll,pitch,yaw,v_x,v_y,v_z,ref_x,ref_y,ref_z,ref_v_x,ref_v_y,ref_v_z,a_com,a_x,a_y,a_z,thrust,wind_x,wind_y,wind_z
0.0,0.8489241835119635,-1.4059364291511187,2.9817657946207663,0.0284159498971176,0.0995848086747346,0.0420456534113395,-0.0003183382054568,0.0079374702749933,-0.0004411478569519,0.8489155347196227,-1.4056862986164087,2.981753075662363,-0.1002977572770409,0.1082507693993473,-0.1004277303027321,0.3978045531763992,-0.0159169102728419,0.3968735137496678,-0.0220573928475956,10.254344474238678,-0.9407892844007664,0.2551784882150276,-0.8778796514927696
0.02,0.8490846329011061,-1.4060871060031914,2.981647547304378,0.0207932063438322,0.0943698289842827,0.0413927984666206,0.015666803306002,-0.017493645532385,-0.0117212481882369,0.8489155347196227,-1.4056862986164087,2.981753075662363,-0.1002977572770409,0.1082507693993473,-0.1004277303027321,1.6042966245628576,0.7992570755729441,-1.271555790368918,-0.5640050165642497,10.254344474238678,-0.9462489052275196,0.2543626184586964,-0.8796020392205408
0.04,0.8495130808215513,-1.4064692194706403,2.981234433321013,0.0043232007620415,0.0792595849586331,0.0401153559448398,0.0249517133286217,-0.0184915484774637,-0.0292025644552038,0.8489155347196227,-1.4056862986164087,2.981753075662363,-0.1002977572770409,0.1082507693993473,-0.1004277303027321,0.99096138022839,0.4642455011309849,-0.0498951472539366,-0.8740658133483453,9.660400934734298,-0.9520542039169948,0.2698148424638128,-0.8653652986948351
0.06,0.8500103025774596,-1.406774785036799,2.9804469609812427,-0.0128455738927188,0.0581280535301256,0.0391375409153516,0.0232484082246398,-0.0116519417225035,-0.0487125050456935,0.8479125571468522,-1.4046037909224152,2.980748798359336,-0.1202977575750641,0.1282507696973705,-0.1204277306007553,1.0372068871302726,-0.0851652551990961,0.3419803377480099,-0.975497029524488,9.230164547871937,-0.9621157439825004,0.282532040325308,-0.8497265959443074
0.08,0.8503521216939386,-1.406902306083207,2.97932803113568,-0.0285565186379539,0.0362170822733498,0.0386871875227412,0.0122561379331365,-0.0018286568628387,-0.0681079879099368,0.8459066020013114,-1.4024387755344283,2.978740243753281,-0.1602977581711106,0.168250770293417,-0.1604277311968018,1.2181047647192933,-0.549613514575165,0.4911642429832374,-0.969774143212162,9.076310665660912,-0.9762945966437452,0.2938008845077722,-0.8313305711429232
0.1,0.8504011139526925,-1.406806347644625,2.9777427496673594,-0.0443066756524344,0.0140222116459382,0.0386716892815067,-0.0072813253414438,0.0112204076754027,-0.0894800446266801,0.8439006468557706,-1.4002737601464412,2.9767316891472264,-0.200297758767157,0.2082507708894634,-0.2004277317928482,1.5880454691478938,-0.9768731637290178,0.6524532269120772,-1.068602835837165,9.076310665660912,-0.9916869705728296,0.3032519307505659,-0.812918975777848
0.12,0.8499871710593547,-1.4064223419226554,2.975723101187918,-0.0592756562573809,-0.0053645046056186,0.0389753109438526,-0.0333884604373492,0.0268262358799376,-0.1114707877135084,0.8398946916804275,-1.396108744728652,2.9727231345113694,-0.2402977593632035,0.2482507714855099,-0.2404277323888947,1.876644051476065,-1.3053567547952707,0.7802914102267433,-1.099537154341416,9.056814517634391,-1.0060151168005884,0.3110359599069997,-0.7971187001423374
0.14,0.8489965938538293,-1.4057005402314755,2.973255962206266,-0.0735070873722872,-0.020703004760715,0.0394055286405079,-0.0642379681228388,0.0448676602092866,-0.1341825356143196,0.8358887365050843,-1.3919437293108627,2.9687145798755123,-0.28029775995925,0.2882507720815564,-0.2804277329849411,2.117196618750083,-1.5424753842744796,0.9020712164674536,-1.1355873950405615,9.07449415816427,-1.0172797078734404,0.3171964543037042,-0.7861219692080453
0.16,0.8474482108856134,-1.404635663626526,2.9704835586777185,-0.0856477796622357,-0.0309554856274607,0.03980612097313,-0.0970073063213206,0.0660496116213202,-0.1565117831914678,0.8308827813148401,-1.3867787138781724,2.963706025224754,-0.3202977605552964,0.3282507726776028,-0.3204277335809876,2.247832227363627,-1.6384669099240918,1.059097570601676,-1.1164623788574106,9.084045231338678,-1.025825485059085,0.3227616159144318,-0.778886569616884
0.18,0.8451204834073166,-1.403052041310446,2.967098430150122,-0.0962777619439554,-0.0366501667277364,0.0400701893604367,-0.1340617224423645,0.0909015165720279,-0.1808478470252301,0.8248768261096946,-1.3806136984305808,2.957697470559095,-0.3602977611513428,0.3682507732736492,-0.360427734177034,2.541107502975542,-1.852720806052191,1.242595247535388,-1.216803191688115,9.101419858274769,-1.030086514622958,0.3267166544580396,-0.7781846829804762
0.2,0.8420413948960342,-1.4009490219158345,2.963223440265236,-0.1044052518979179,-0.0366949394145062,0.040015278224114,-0.1712424714068765,0.1175927212467031,-0.205306958393615,0.8384173972851984,-1.3985069654818447,2.958056037798861,-0.2340617239324806,0.1909015180621441,-0.2808478485153463,2.594743065063723,-1.8590374482256005,1.334560233733758,-1.2229555684192417,9.111455110830777,-1.0315226017343695,0.328200383584813,-0.7829189903908742
0.22,0.8383977112779049,-1.398290337235759,2.959296032557755,-0.10563228056685,-0.0312676862167259,0.0398478395092178,-0.2094206884129587,0.1582146146819424,-0.2064545562147123,0.8384173972851984,-1.3985069654818447,2.958056037798861,-0.2340617239324806,0.1909015180621441,-0.2808478485153463,2.7879344777031765,-1.908910850304113,2.0310946717619647,-0.057379891054865,9.121816806155492,-1.0347318846725888,0.3261055004016033,-0.7842070741656694
0.24,0.8338403390151967,-1.3947704488453967,2.9551499621763893,-0.100252805846047,-0.0205603287782551,0.0396354769463391,-0.2435153557085959,0.1903274243011291,-0.2081037733217903,0.8384173972851984,-1.3985069654818447,2.958056037798861,-0.2340617239324806,0.1909015180621441,-0.2808478485153463,2.3432876459712526,-1.7047333647818574,1.6056404809593348,-0.0824608553538996,10.615626849283217,-1.0321294288726557,0.3219494944256387,-0.7895755082690143
