t,x,y,z,roll,pitch,yaw,v_x,v_y,v_z,ref_x,ref_y,ref_z,ref_v_x,ref_v_y,ref_v_z,a_com,a_x,a_y,a_z,thrust,wind_x,wind_y,wind_z
0.0,-1.6643072389322482,1.5311017401613205,2.994756293967495,0.0238493291586015,0.1500939264221283,0.0288651141997343,0.0018409267933508,-0.0052508223650982,-0.001862261292753,-1.6642571543959233,1.5310523922232584,2.9947006443108277,-0.0022013532979221,-0.1025973154480227,-0.1018580975763565,0.2933775898512814,0.0920463396675415,-0.2625411182549104,-0.0931130646376512,10.663676957809912,-1.4129744823590236,0.1671354758403724,-1.279504372141777
0.02,-1.664363676588439,1.5312658942369703,2.994472075956872,0.0314875563804352,0.151603950656357,0.029422439902941,-0.0068374888281649,0.0158424926670155,-0.0266998306898913,-1.6642571543959233,1.5310523922232584,2.9947006443108277,-0.0022013532979221,-0.1025973154480227,-0.1018580975763565,1.686081025856577,-0.4339207810757887,1.0546657516056868,-1.2418784698569163,9.18075808111098,-1.4073006792498848,0.158601624749549,-1.2770591802892688
0.04,-1.664569308611054,1.5315824524619128,2.993685772411467,0.0451790680525007,0.1554226854769679,0.030490682761012,-0.0139722223171725,0.015899910167724,-0.0547956746978335,-1.6642571543959233,1.5310523922232584,2.9947006443108277,-0.0022013532979221,-0.1025973154480227,-0.1018580975763565,1.449382773154816,-0.3567366744503825,0.0028708750354282,-1.4047922003971112,9.18075808111098,-1.3993191329179813,0.1416061950712336,-1.2806272176250486
0.06,-1.6649035111531552,1.5318403190150467,2.9922782059078044,0.0601296345546015,0.1611749892008661,0.0317793315066502,-0.0187459831344035,0.0095260991758124,-0.0844948309533981,-1.6642791679289024,1.5300264190687782,2.993682063335064,-0.0029845488307805,-0.1225973157460459,-0.1218580978743797,1.537411900885044,-0.2386880408615488,-0.3186905495955824,-1.4849578127782304,9.001917257025525,-1.38960890640469,0.1239680478698123,-1.284570947786495
0.08,-1.6653025418738694,1.5319330260306327,2.990285519509254,0.0745676804777494,0.1678004683844193,0.033151896811578,-0.0206607858997906,-0.0002417773544759,-0.1133324079550532,-1.664323194994861,1.5279744727598177,2.9916449013835367,-0.0045509398964972,-0.1625973163420924,-0.1618580984704262,1.5253554740352144,-0.0957401382693543,-0.4883938265144182,-1.4418788500827533,9.020598983213858,-1.379032596830865,0.1069961693977518,-1.2884885552084164
0.1,-1.6657110168822518,1.5318011139037466,2.987724838134441,0.088330906731527,0.1745531003256573,0.0345561306035,-0.0199134079415154,-0.0127499101515542,-0.1413348327350968,-1.6643672220608194,1.5259225264508574,2.9896077394320093,-0.006117330962214,-0.2025973169381389,-0.2018580990664726,1.5339065759066468,0.0373688979137613,-0.6254066398539146,-1.4001212390021804,9.083117069183572,-1.3692984079329522,0.0917233931908322,-1.2909565308937323
0.12,-1.6660627445435432,1.531419986923106,2.9847797706967154,0.1007745952941599,0.1805821060079877,0.0358681827816388,-0.0170581739923307,-0.0269832535352964,-0.1673086988895506,-1.6644895686800636,1.5218705801120946,2.98557057745068,-0.0076837220279307,-0.2425973175341853,-0.2418580996625191,1.4877685873427824,0.1427616974592354,-0.711667169187113,-1.2986933077226883,9.145787024931453,-1.3605377520085593,0.0765276087383622,-1.293172463861928
0.14,-1.6663579787003773,1.530703182180476,2.98114147308768,0.1132257111987269,0.1862006932223753,0.0371752138089776,-0.0125247037409373,-0.0442108713176338,-0.1952053440088834,-1.664611915299308,1.517818633773332,2.9815334154693502,-0.0092501130936475,-0.2825973181302318,-0.2818581002585656,1.6549667488265227,0.2266735125696671,-0.8613808891168708,-1.3948322559666408,9.199172605150125,-1.3527695147426215,0.0620774971753256,-1.2950260603246164
0.16,-1.6665460891947754,1.52961831585951,2.976943367547669,0.1250327415172335,0.190840259162608,0.0383541344055569,-0.0065111830422388,-0.0636644742142356,-0.2232361870459379,-1.664773421695195,1.512766687419668,2.97649625347312,-0.0108165041593642,-0.3225973187262782,-0.321858100854612,1.732291299277008,0.3006760349349273,-0.9726801448300856,-1.401542151852722,9.185949210457691,-1.3459077774574366,0.0490394320557135,-1.2948550058692598
0.18,-1.666602073618267,1.5281216556801305,2.9721856081038105,0.1362169408797029,0.1943806860579299,0.0393607351947372,0.0005797774522433,-0.0852673069597887,-0.2511594937116841,-1.6649740878677253,1.5067147410511028,2.970459091461988,-0.0123828952250809,-0.3625973193223246,-0.3618581014506584,1.8004687990326025,0.3545480247241089,-1.0801416372776576,-1.3961653332873136,9.20094021526802,-1.3393626252942874,0.0360306737507833,-1.2925042108724998
0.2,-1.6665164950559834,1.5262586106302172,2.967147486943868,0.1455875158470469,0.1967320198507952,0.0400824129701567,0.0080155052134409,-0.1094733392887306,-0.2777236275445048,-1.6665730847456548,1.523858290332141,2.959627633418226,-0.0041586590939333,-0.1852673084499048,-0.3511594952018003,1.834989955515036,0.3717863880598787,-1.210301616447094,-1.3282066916410318,9.224298436778554,-1.3345621667814385,0.0246216791967247,-1.2883270135592078
0.22,-1.66621383671442,1.5236400851170668,2.961420761620063,0.1496460332381003,0.1974637242488914,0.0401496275113156,0.0219702933733904,-0.1492768574757838,-0.2924988843499418,-1.6665730847456548,1.523858290332141,2.959627633418226,-0.0041586590939333,-0.1852673084499048,-0.3511594952018003,2.2345941389448982,0.6977394079974767,-1.9901759093526608,-0.7387628402718505,9.251887780982544,-1.3303617902664469,0.0201439059725459,-1.2794397749312447
0.24,-1.665625540055737,1.520293958533229,2.9554224343820343,0.1472491551645093,0.1955082797730315,0.0393285176915852,0.0359458741997406,-0.1825427468206175,-0.3065014955598556,-1.6665730847456548,1.523858290332141,2.959627633418226,-0.0041586590939333,-0.1852673084499048,-0.3511594952018003,1.9352063029768731,0.698779041317508,-1.6632944672416827,-0.7001305604956903,10.068546313027582,-1.3327812493304698,0.0228341282181066,-1.2701949273801478
0.26,-1.6648206376889956,1.5165533614150115,2.9494504438775717,0.1422085570678916,0.1911738284547804,0.0379828546958899,0.0476978499376195,-0.2089561172155481,-0.3212591407076631,-1.666614671336594,1.522005617247642,2.956116038466208,-0.0051063464031686,-0.205267308747928,-0.3711594954998235,1.622931883715473,0.5875987868939454,-1.320668519746533,-0.7378822573903765,10.068546313027582,-1.3393090761764468,0.0290475172825141,-1.2561052004893425
0.28,-1.663768129584059,1.512120024630332,2.94284701554054,0.1363089216817654,0.1847454537344885,0.036279952206585,0.0565608830371067,-0.2328333801233389,-0.3383350533509223,-1.6666978445184728,1.5183002710786435,2.949092848562172,-0.0070017210216393,-0.2452673093439745,-0.4111594960958699,1.5331860880944834,0.4431516549743629,-1.19386314538954,-0.853795632162957,9.912228316466098,-1.348065543927797,0.035788882697455,-1.2394938453635411
0.3,-1.6625762343132509,1.5072341115839578,2.9358820118298863,0.1307543831060287,0.1774741375650439,0.0345215569042319,0.0619420579151114,-0.2545682291579252,-0.3572411936194208,-1.6667810177003517,1.5145949249096458,2.942069658658136,-0.0088970956401099,-0.285267309940021,-0.4511594966919164,1.465266908685982,0.2690587439002356,-1.0867424517293154,-0.9453070134249286,9.756310836459306,-1.355994519608234,0.0415579943426075,-1.2228900256989967
0.32,-1.6613741766551404,1.5022044543503763,2.928900071449809,0.126074308863048,0.1705679826168373,0.0329272863026562,0.0641945618478115,-0.2738473723372349,-0.3767202965225209,-1.6669589596131538,1.5088895787108454,2.9330464687242976,-0.0107924702585806,-0.3252673105360674,-0.4911594972879628,1.3749496223541349,0.1126251966350022,-0.9639571589654812,-0.9739551451550033,9.500294984496575,-1.3634920178087409,0.0467630676249883,-1.2054643585807616
0.34,-1.6600875826235215,1.4965259471582049,2.9211409590591986,0.1218978534553465,0.1638856189696803,0.0314061530905201,0.0642193444297944,-0.2930507850575773,-0.3982036754347703,-1.6671369015259558,1.503184232512045,2.92402327879046,-0.0126878448770513,-0.3652673111321139,-0.5311594978840093,1.4407526190948454,0.0012391290991432,-0.9601706360171242,-1.0741689456124692,9.418895191457525,-1.369122841350179,0.0509274065096937,-1.189263300750287
0.36,-1.6588213644872942,1.4904615701613484,2.912943813704417,0.1181986964741201,0.1582187262060025,0.0300655365189512,0.0622923634262123,-0.3123376039155305,-0.4204322187356082,-1.66736222780422,1.4964788862983434,2.91400008884172,-0.014583219495522,-0.4052673117281603,-0.5711594984800556,1.4746209468240394,-0.0963490501791043,-0.9643409428976596,-1.111427165041895,9.418895191457525,-1.3733004003615117,0.0545326701373882,-1.174257979510977
0.38,-1.657614359769611,1.484015265565876,2.904294700020275,0.1146175152502933,0.1540271012847409,0.0289253365496194,0.058455017594749,-0.3311847834863254,-0.4433201747172189,-1.6676349384479456,1.4887735400697406,2.9029768988780797,-0.0164785941139926,-0.4452673123242067,-0.6111594990761021,1.4948243457177388,-0.1918672915731615,-0.9423589785397424,-1.1443977990805376,9.366031735435172,-1.3755681006121243,0.0578208000571758,-1.161711955437285
0.4,-1.656554797998345,1.4775482566346771,2.8956480992852107,0.1112434855753765,0.1519050771236167,0.028068733690027,0.0532644347512702,-0.3484760888677821,-0.4656692606123587,-1.6546916088898735,1.4674560263915597,2.882128691284414,0.0810109704864565,-0.4311847849764415,-0.5433201762073351,1.4365001152089647,-0.2595291421739421,-0.8645652690728367,-1.1174542947569892,9.317287857694282,-1.375485941050398,0.0612092658790423,-1.1512741441557397
0.42,-1.6555548166123986,1.4703850337853956,2.8863057975436,0.1082337367248611,0.1531531338803967,0.0275951094395614,0.0476641665467007,-0.3671786300416645,-0.4663090440366609,-1.6546916088898735,1.4674560263915597,2.882128691284414,0.0810109704864565,-0.4311847849764415,-0.5433201762073351,0.9766746811936524,-0.2800134102284738,-0.9351270586941184,-0.0319891712151076,9.26908884603472,-1.3707816861514204,0.0645419915827573,-1.1385448884426228
0.44,-1.6546303980000243,1.4628576217159337,2.8769454311938416,0.1061903444032464,0.1579409926206877,0.0275658186593044,0.0454515817950609,-0.3847538823118921,-0.4701468166306896,-1.6546916088898735,1.4674560263915597,2.882128691284414,0.0810109704864565,-0.4311847849764415,-0.5433201762073351,0.9062470994833688,-0.1106292375819901,-0.8787626135113802,-0.1918886297014366,10.66420907900556,-1.3629158166247346,0.0659023590415692,-1.1453349210427568
0.46,-1.653722422454896,1.4549808970411815,2.8674486258193617,0.1048530019968045,0.1644901082184102,0.027761842467268,0.0457961765451452,-0.402068945302056,-0.479341972976151,-1.653881499185009,1.4631441785417951,2.8766954895223407,0.0855221610647979,-0.4511847852744647,-0.5633201765053583,0.9804094197229648,0.0172297375042141,-0.8657531495081944,-0.4597578172730709,10.01590833948194,-1.3538663346012287,0.0666760641456706,-1.1526733633264263
0.48,-1.652833155483796,1.447182504613958,2.8582201590912577,0.1040263820806763,0.1714267488906645,0.0280440908655907,0.0480333562759787,-0.4179601642756647,-0.4916297399386067,-1.6522612797752798,1.4545204828422664,2.8658290859981936,0.0945445422214809,-0.4911847858705112,-0.6033201771014047,1.0106001070389443,0.1118589865416741,-0.7945609486804339,-0.6143883481227852,10.01590833948194,-1.3434587318338698,0.0671130167003419,-1.1601640721674498
0.5,-1.6518330938213015,1.4386547763106066,2.8482243652464243,0.103694179412489,0.1789420406052798,0.0283926704126707,0.0520696355912475,-0.4339857917078318,-0.5074489755819315,-1.6506410603655508,1.4458967871427375,2.854962682474047,0.1035669233781639,-0.5311847864665576,-0.6433201776974512,1.1438536856221289,0.201813965763441,-0.8012813716083589,-0.7909617821662357,9.821020573409442,-1.3327283105291603,0.0670320841359342,-1.16708931691523
0.52,-1.650735997925964,1.4298103902842432,2.8378871657705784,0.1040070367631647,0.1863724702248708,0.0287725358010837,0.0576280466611816,-0.4496771380485466,-0.5255859994778218,-1.6485697218979876,1.4352730914134066,2.842096278920098,0.1125893045348468,-0.5711847870626041,-0.6833201782934977,1.2309203055099929,0.2779205534967025,-0.7845673170357392,-0.9068511947945168,9.55712582562137,-1.3219686894666418,0.0662823753727867,-1.1734892875362126
0.54,-1.6495112509707366,1.4206532506901592,2.827175888020229,0.1049990804158004,0.1935480355990854,0.029172145138432,0.0647547941884933,-0.4653186120150366,-0.5446553725413766,-1.6464983834304243,1.4246493956840756,2.829229875366149,0.1216116856915298,-0.6111847876586506,-0.7233201788895441,1.2836347097202712,0.356337376365588,-0.782073698324498,-0.9534686531777414,9.55712582562137,-1.3119315791388413,0.0649303576133531,-1.1785540491260988
0.56,-1.648201465191966,1.411651839225187,2.816641055000533,0.1062229813026699,0.2000490845797626,0.0295394358626085,0.0729063742731324,-0.4813409816828929,-0.563330429406661,-1.644201485433944,1.4130256999398432,2.815363471797299,0.1306340668482128,-0.651184788254697,-0.7633201794855905,1.296073239222356,0.4075790042319518,-0.8011184833928181,-0.9337528432642184,9.527708449720194,-1.3019454601210572,0.0631785231482203,-1.183362719807617
0.58,-1.6466420215487017,1.4018398688509062,2.8051613578678984,0.1073005830041724,0.2065275584542693,0.0298726640329347,0.0827588338120252,-0.4989636114125849,-0.5836931981308053,-1.6416790279085467,1.4004020041807097,2.800497068213548,0.1396564480048958,-0.6911847888507434,-0.803320180081637,1.4337628706208128,0.4926229769446441,-0.8811314864845959,-1.0181384362072166,9.514331848917209,-1.292708232922787,0.0616423286074102,-1.1879475594260542
0.6,-1.6448725389063106,1.3916658402292967,2.793268302479276,0.1076989337961175,0.212626975256013,0.0301142863182971,0.0938356922839055,-0.517462006367992,-0.604612026130164,-1.6425040798581003,1.3768916882802769,2.775976697961358,0.1123928866995842,-0.598963612902701,-0.6836931996209215,1.502069218111341,0.5538429235940105,-0.9249197477703558,-1.0459413999679312,9.489494658087096,-1.2839799323471937,0.0608528941000532,-1.191605993284632
0.62,-1.6428122692035452,1.3810665678648673,2.781188631546227,0.1061668308326735,0.2182432613062186,0.0301583063596722,0.1120419057501611,-0.5413274987270695,-0.6010437365687303,-1.6425040798581003,1.3768916882802769,2.775976697961358,0.1123928866995842,-0.598963612902701,-0.6836931996209215,1.511423687053279,0.91031067331278,-1.193274617953877,0.1784144780716812,11.072384859697197,-1.2759681959711926,0.0624627871745363,-1.187128085378519
0.64,-1.6405013474840335,1.3705790178986643,2.769783364411755,0.1027297889393625,0.2228925476338732,0.0299701258305228,0.1303007704688065,-0.5609192487811081,-0.599783943346968,-1.6425040798581003,1.3768916882802769,2.775976697961358,0.1123928866995842,-0.598963612902701,-0.6836931996209215,1.3405315083534155,0.9129432359322716,-0.9795875027019284,0.0629896610881142,11.072384859697197,-1.269986283506118,0.0658471897549279,-1.1917258883769473
0.66,-1.6376890529728714,1.3591734002353542,2.757754447228295,0.0985897508676839,0.2267328112966926,0.0296077503829498,0.149924957925757,-0.5784393244072211,-0.6033835472624128,-1.6413801509911046,1.3709020521512498,2.7691397659651487,0.118319697277096,-0.6189636132007241,-0.7036931999189446,1.327609629784238,0.9812093728475232,-0.8760037813056509,-0.1799801957722391,10.743849965281695,-1.265392788705953,0.0698067499765608,-1.1952556379340915
0.68,-1.6344832818402828,1.3474387719014935,2.745602097334461,0.0945232469010893,0.2291302517100016,0.0290940781122603,0.1695399588715788,-0.594085800020448,-0.6116194180256985,-1.6391322932571128,1.358922779893196,2.7554659019727303,0.1301733184321195,-0.6589636137967706,-0.7436932005149911,1.3204071611149313,0.9807500472910902,-0.7823237806613426,-0.4117935381642845,10.438348479635351,-1.2626053207190562,0.0735005530732157,-1.196279101340307
0.7000000000000001,-1.6310782411451663,1.3360149513248964,2.7338714220802367,0.0909416078441796,0.2299733688678572,0.0284841858134931,0.187773217280941,-0.6076446591267426,-0.6227417164869841,-1.6368844355231211,1.346943507635142,2.741792037980312,0.1420269395871431,-0.6989636143928171,-0.7836932011110376,1.264910960847483,0.9116629204681106,-0.6779429553147309,-0.556114923064277,10.190522649582816,-1.2613780851655616,0.0770580927820066,-1.194772525059677
