t,x,y,z,roll,pitch,yaw,v_x,v_y,v_z,ref_x,ref_y,ref_z,ref_v_x,ref_v_y,ref_v_z,a_com,a_x,a_y,a_z,thrust,wind_x,wind_y,wind_z
0.0,-0.3038710057735443,0.545730471611023,2.716343641281128,0.0115486375055149,0.1425055555196391,0.0007607443068433,-0.0033279508352279,-0.0088807940483093,-0.0094252824783325,-0.3040624335408211,0.5453960001468658,2.716174602508545,-0.0518775545060634,-0.1111204400658607,-0.1081539168953895,0.6685426491379268,-0.1663975417613983,-0.4440397024154663,-0.471264123916626,12.829536624733464,-1.6320981677398214,0.1511853228419556,-2.5
0.02,-0.3038834035396576,0.5456767678260803,2.716147899627685,0.0122285960183909,0.1409718459428295,0.0001688342575565,-4.0903687477111816e-05,-0.0061932206153869,-0.0097739696502685,-0.3040374033153057,0.5452864319086075,2.7158723771572117,-0.0516679883003234,-0.1088807955384254,-0.1094252839684486,0.2130100505419866,0.1643523573875427,0.1343786716461181,-0.0174343585968017,12.022953515731388,-1.661984040404234,0.15786844485856,-2.5
0.04,-0.3038309514522552,0.545583963394165,2.7160558700561523,0.0125533605332989,0.1396692005809168,-5.6505273757216e-06,0.001053437590599,-0.006127506494522,-0.0114423036575317,-0.3040374033153057,0.5452864319086075,2.7158723771572117,-0.0516679883003234,-0.1088807955384254,-0.1094252839684486,0.0998153237029924,0.0547170639038085,0.0032857060432434,-0.0834167003631591,12.622054682496127,-1.6381128609723592,0.1764824465242477,-2.5
0.06,-0.3038417100906372,0.5454499125480652,2.7160587310791016,0.0137300758783311,0.1366414368394367,-0.0005725409907556,0.0021826475858688,-0.0053751468658447,-0.005192756652832,-0.3040374033153057,0.5452864319086075,2.7158723771572117,-0.0516679883003234,-0.1088807955384254,-0.1094252839684486,0.3197577129180459,0.0564604997634887,0.0376179814338684,0.3124773502349853,11.726501554986498,-1.6427256973986704,0.1743531335923615,-2.5
0.08,-0.3037539422512054,0.545249342918396,2.715986967086792,0.0144605843553009,0.1322993120502014,-0.0006086203191107,0.0017327070236206,-0.0075289607048034,-0.0015503168106079,-0.3045540831983089,0.5441976239532232,2.714778124317527,-0.0613359957933425,-0.1288807958364486,-0.1294252842664718,0.2127717589734838,-0.0224970281124115,-0.107690691947937,0.182121992111206,12.086872008590037,-1.643179983564986,0.1776982954864139,-2.5
0.1,-0.3037119209766388,0.5451347231864929,2.715740919113159,0.0183876912195975,0.1271485709744119,-0.0010244443272484,0.0029202550649642,-0.0070917606353759,-0.0071507692337036,-0.3055874429643154,0.5420200080424546,2.712589618638158,-0.0806720107793808,-0.1688807964324951,-0.1694252848625183,0.2870822251314298,0.0593774020671844,0.0218600034713745,-0.2800226211547851,11.201898961413464,-1.6342902838424809,0.1724742006810138,-2.5
0.12,-0.3036319017410278,0.5450546145439148,2.7154548168182373,0.0224213282143911,0.1225838334071611,-0.0012558423485336,0.0027459114789962,-0.004381388425827,-0.0119733810424804,-0.3066208027303219,0.5398423921316862,2.710401112958789,-0.100008025765419,-0.2088807970285415,-0.2094252854585647,0.2767403921476652,-0.0087171792984008,0.1355186104774475,-0.2411305904388427,11.017474323800345,-1.6124769492283433,0.1800724993410998,-2.494519928865431
0.14,-0.3036220371723175,0.5449313521385193,2.715280532836914,0.0249980811054446,0.1192492619672767,-0.0015852358329663,0.0017910450696945,-0.0069254636764526,-0.0110507011413574,-0.3086209632456302,0.5356647761911153,2.706212607249617,-0.1193440407514572,-0.248880797624588,-0.2494252860546112,0.1434871678966017,-0.0477433204650878,-0.1272037625312805,0.0461339950561523,11.270044866321768,-1.606290093000819,0.2079291773624933,-2.5
0.16,-0.3038041293621063,0.5444816946983337,2.714649200439453,0.0363821034827564,0.1129959646022871,-0.0009830144640774,-0.0048306584358215,-0.0126627087593078,-0.0210338830947875,-0.3106211237609386,0.5314871602505445,2.7020241015404465,-0.1386800557374954,-0.2888807982206345,-0.2894252866506577,0.6641288662055805,-0.3310851752758026,-0.2868622541427612,-0.4991590976715088,10.801523548993371,-1.6097485439254644,0.1926414256050113,-2.4829413064942023
0.18,-0.3040472269058227,0.5441296100616455,2.71407413482666,0.04959666403002,0.1043151073517714,-0.0011065807615254,-0.0095667690038681,-0.01803919672966,-0.0271439552307128,-0.3131046846508979,0.5263095442950725,2.696835595816374,-0.1580160707235336,-0.3288807988166809,-0.3294252872467041,0.4708246693683188,-0.2368055284023285,-0.2688243985176086,-0.3055036067962646,10.51551765572276,-1.608465008806847,0.1929299602168158,-2.4959187374816367
0.2,-0.3045027554035187,0.5436223149299622,2.7131502628326416,0.0690391103712634,0.0952520827796797,-0.0010992774893618,-0.0157190859317779,-0.0193360447883605,-0.0337260961532592,-0.3160716459155083,0.5201319283246993,2.6906470900774004,-0.1773520857095718,-0.3688807994127273,-0.3694252878427505,0.4551301945406976,-0.3076158463954925,-0.064842402935028,-0.3291070461273193,10.36348045347222,-1.5644382659478748,0.2121161600446571,-2.36956426314418
0.22,-0.3051345348358154,0.5428848266601562,2.711751937866211,0.0934829818226181,0.08708192203426,-0.0003240858732874,-0.0244644284248352,-0.0280076265335083,-0.0522494316101074,-0.3052887097001076,0.5426555126905441,2.711463958024978,-0.0618083141744136,-0.1193360462784767,-0.1337260976433754,1.112195241100432,-0.4372671246528625,-0.4335790872573852,-0.9261667728424072,10.40733988658667,-1.552876787135601,0.2639791353658233,-2.2751204200991006
0.24,-0.3054495453834533,0.5421375632286072,2.71065092086792,0.1076898926142032,0.0839758969650141,-0.0008099631084843,-0.0259704887866973,-0.0396779179573059,-0.0656336545944213,-0.3052887097001076,0.5426555126905441,2.711463958024978,-0.0618083141744136,-0.1193360462784767,-0.1337260976433754,0.8910686626514461,-0.0753030180931091,-0.5835145711898804,-0.6692111492156982,13.457334901987906,-1.5431387162265455,0.3021286666340622,-2.284277386223897
0.26,-0.3062449991703033,0.5406347513198853,2.7087771892547607,0.1334292681203424,0.0730256247067011,-0.0005512537342579,-0.0314200669527053,-0.0597260892391204,-0.0818288326263427,-0.3052887097001076,0.5426555126905441,2.711463958024978,-0.0618083141744136,-0.1193360462784767,-0.1337260976433754,1.3171093969542116,-0.2724789083003998,-1.0024085640907288,-0.8097589015960693,12.08990178958402,-1.4937263920218224,0.3307492924652925,-2.219145664289334
0.28,-0.3074301183223724,0.5387999415397644,2.7072365283966064,0.1490226030439887,0.0659546570933642,0.0015072697810833,-0.044562891125679,-0.0750964879989624,-0.0768238306045532,-0.3059067928418517,0.5414621522277594,2.710126697048545,-0.0710261598229408,-0.1393360465764999,-0.1537260979413986,1.0416729699339031,-0.6571412086486816,-0.768519937992096,0.2502501010894775,12.899236459864367,-1.4215865368390856,0.3475965782351657,-2.103332187781872
0.3,-0.3090267777442932,0.5361170172691345,2.705880641937256,0.1502006560868378,0.0633483104914567,0.001330842749141,-0.062590017914772,-0.1016490161418914,-0.0651723146438598,-0.30714295912534,0.5390754313021898,2.707452175095677,-0.0894618511199951,-0.1793360471725464,-0.193726098537445,1.7071700817679003,-0.9013563394546508,-1.327626407146454,0.582575798034668,12.30959368654112,-1.419275749418376,0.3809927334748306,-1.618635158181616
0.32,-0.3098609447479248,0.5346129536628723,2.70510196685791,0.1339490452465758,0.0675973605365636,0.0014384942463187,-0.0678612291812896,-0.1147851347923278,-0.0690293312072753,-0.3083791254088283,0.5366887103766202,2.70477765314281,-0.1078975424170494,-0.2193360477685928,-0.2337260991334915,0.7335186742426318,-0.2635605633258819,-0.6568059325218201,-0.1928508281707763,11.61748481755285,-1.419275749418376,0.3809927334748306,-1.618635158181616
0.34,-0.311646968126297,0.530945360660553,2.704040765762329,0.1301948973889546,0.0711350644659181,0.0017224348958198,-0.0777914375066757,-0.1495707035064697,-0.0537675619125366,-0.3105370762571692,0.5323019894212484,2.70010313116014,-0.1263332337141036,-0.2593360483646392,-0.2737260997295379,1.963139341818151,-0.4965104162693023,-1.7392784357070925,0.7630884647369385,12.211710920581936,-1.409564540673529,0.3980464840857211,-1.8820829252098792
0.36,-0.3139236867427826,0.5268434882164001,2.7030932903289795,0.1064415303577475,0.0800037435545678,0.0005037073175038,-0.0914116948843002,-0.1748129725456237,-0.0451952219009399,-0.3126950271055102,0.5279152684658766,2.6954286091774704,-0.144768925011158,-0.2993360489606858,-0.3137261003255844,1.4968037367605944,-0.6810128688812256,-1.2621134519577026,0.428617000579834,11.609350274085957,-1.4046934660243653,0.3892464197941793,-1.8700229942509063
0.38,-0.3164266347885132,0.5224602818489075,2.7020633220672607,0.0822915033991994,0.0874576433128302,0.0005662873798363,-0.1075424998998642,-0.1909142732620239,-0.044492483139038,-0.3153138702362776,0.5225285474956035,2.6897540871798995,-0.1632046163082122,-0.3393360495567322,-0.3537261009216308,1.1401190694150882,-0.8065402507781982,-0.8050650358200073,0.0351369380950927,10.88191585786899,-1.4229119139898718,0.3622607658121545,-1.9361986328571388
0.4,-0.3190972805023193,0.5176898837089539,2.700571060180664,0.0621252326966066,0.0994134933261833,0.000149986253304,-0.1164058595895767,-0.2059561014175415,-0.0567501783370971,-0.3183936056494713,0.5161418265104294,2.6830795651674277,-0.1816403076052665,-0.3793360501527786,-0.3937261015176773,1.0666147744357648,-0.4431679844856262,-0.7520914077758789,-0.6128847599029541,10.607957619069111,-1.4862186016535426,0.3390820736663314,-1.995229042638837
0.42,-0.3218266367912292,0.5126699805259705,2.698763132095337,0.0480950484368697,0.1098436038914563,0.0011033765630744,-0.1215000450611114,-0.2202817797660827,-0.0742542743682861,-0.3249175734817981,0.5073920786380768,2.697733551263809,-0.124510115943849,-0.3059561029076576,-0.1567501798272133,1.159276890601793,-0.2547092735767364,-0.716283917427063,-0.8752048015594482,10.178338467330375,-1.514337302129663,0.2862918181244448,-2.04834068368022
0.44,-0.323231041431427,0.5101985335350037,2.6976518630981445,0.0439250247736498,0.1143780643688061,0.0016761946499939,-0.1222953200340271,-0.2228862047195434,-0.0813996791839599,-0.3249175734817981,0.5073920786380768,2.697733551263809,-0.124510115943849,-0.3059561029076576,-0.1567501798272133,0.3823359177497239,-0.0397637486457824,-0.1302212476730346,-0.3572702407836914,12.114849200397655,-1.5220047082239068,0.2363615409519718,-2.185953662922268
