t,x,y,z,roll,pitch,yaw,v_x,v_y,v_z,ref_x,ref_y,ref_z,ref_v_x,ref_v_y,ref_v_z,a_com,a_x,a_y,a_z,thrust,wind_x,wind_y,wind_z
0.0,-1.9030716318177168,2.0785181255237224,2.549078798860723,0.010829167847924,0.1363603538304003,0.0257858734951045,0.0054699495434887,-0.0003663917633814,0.0115699344075813,-1.9029028237486572,2.0784049901289,2.549430515766138,0.0004003467015721,-0.1028823204808443,-0.0883151927873467,0.6401522731513216,0.2734974771744397,-0.0183195881690703,0.5784967203790673,10.547756862725691,-1.2867018935406287,0.1658421736381607,-1.1721789469034634
0.02,-1.9030260136265755,2.078772396560362,2.5490962559306074,0.0188149910494365,0.1370685561186442,0.0263594266429758,-0.000855894773012,0.0216284505221257,-0.0108701380405537,-1.9029028237486572,2.0784049901289,2.549430515766138,0.0004003467015721,-0.1028823204808443,-0.0883151927873467,1.6026121216302585,-0.3162922158250426,1.0997421142753598,-1.1220036224067569,10.547451026226554,-1.308286945088546,0.1592383505374092,-1.1863328637175845
0.04,-1.903113645363289,2.0792445582568484,2.548581954670296,0.0338043532921478,0.1392340152006668,0.0274476718073452,-0.0072748484885595,0.023699543226696,-0.039287903178776,-1.9029028237486572,2.0784049901289,2.549430515766138,0.0004003467015721,-0.1028823204808443,-0.0883151927873467,1.4603610574481465,-0.3209476857773751,0.1035546352285152,-1.4208882569111143,8.976521756227157,-1.3062960097281886,0.1438197719170562,-1.1706048851931363
0.06,-1.903300731542301,2.0796573129232603,2.547570189617345,0.0485325936736194,0.1423291508748693,0.0285649402413803,-0.0118918944359916,0.0193447297877728,-0.0657687198280407,-1.9028988202816417,2.0773761669240915,2.5485473638382645,-0.0006369473435185,-0.1228823207788676,-0.1083151930853699,1.3615388020365968,-0.2308522973716064,-0.2177406719461648,-1.324040832463235,8.976521756227157,-1.298951725990797,0.127229777137565,-1.1532351667681155
0.08,-1.9035751771724447,2.0799652819228647,2.545967922338628,0.063494866619822,0.1462436453927375,0.0297625722247567,-0.0151225354729741,0.0113547975271674,-0.093039394322863,-1.90289081334761,2.075318520514475,2.5467810599825174,-0.0027115354336999,-0.162882321374914,-0.1483151936814164,1.4300050231043309,-0.1615320518491222,-0.3994966130302651,-1.3635337247411143,9.003857475744553,-1.2914198832449366,0.1117262787585204,-1.1400398394314508
0.1,-1.9038963273400236,2.0800831215462554,2.5438291701917213,0.0777482059415068,0.1504391348834011,0.0309603204090845,-0.0166798130223308,0.0005275388618013,-0.1194729452600379,-1.9028828064135788,2.0732608741048577,2.54501475612677,-0.0047861235238812,-0.2028823219709605,-0.1883151942774629,1.4303734291442003,-0.0778638774678372,-0.5413629332683053,-1.3216775468587447,9.069074523552445,-1.2841093680065452,0.098091920896775,-1.1276316219346325
0.12,-1.904231826558552,2.079956691649852,2.541169162433062,0.091292964363785,0.1545812424673736,0.0321336757387917,-0.0166821491253768,-0.0129155519593943,-0.1452074085548752,-1.9029785288840564,2.0692032276654384,2.5412484522412213,-0.0068607116140626,-0.2428823225670069,-0.2283151948735093,1.4517052880643688,-0.0001168051522979,-0.6721545410597882,-1.2867231647418624,9.069074523552445,-1.2769117617486976,0.0848776891578891,-1.1143624651698798
0.14,-1.904539111257301,2.07956482855836,2.538162135307776,0.1035272159820611,0.1582462380736712,0.0332004091540866,-0.0156012624535394,-0.0278965436530152,-0.1700414888706987,-1.903074251354534,2.065145581226019,2.537482148355672,-0.0089352997042439,-0.2828823231630534,-0.2683151954695558,1.451146075740196,0.0540443335918676,-0.7490495846810445,-1.2417040157911772,9.10416976317356,-1.2717922756495923,0.0727041839013621,-1.1032327063338534
0.16,-1.904830481270697,2.078821977044448,2.5344824288407164,0.1157656949210333,0.161666237143228,0.0342462393904177,-0.0135333177538139,-0.045857891599816,-0.196645677406188,-1.903221838527266,2.060087934771699,2.5327158444552214,-0.0110098877944253,-0.3228823237590998,-0.3083151960656022,1.6083137621271435,0.1033972349862781,-0.8980673973400377,-1.3302094267744646,9.080789400404685,-1.2679057480684184,0.0614336436930104,-1.092815964747312
0.18,-1.90507104554312,2.077696943650912,2.530269659060836,0.1273747681067538,0.1645199106309418,0.0351855905607935,-0.0106156571941755,-0.0659917010663307,-0.223304176733942,-1.903421290402253,2.054030288302477,2.52694954053987,-0.0130844758846066,-0.3628823243551463,-0.3483151966616487,1.6767219605401549,0.1458830279819193,-1.0066904733257356,-1.332924966387701,9.059280643818056,-1.265085250118658,0.0510089851269497,-1.0822673683068402
0.2,-1.9052463720038288,2.076147194901411,2.525524805222093,0.1383814703016151,0.1667654097808235,0.0359978688410032,-0.0070705061274253,-0.0882084721270816,-0.2498515550414639,-1.9056018284028289,2.074397358597595,2.519104450224139,-0.0083636591384492,-0.1659917025564468,-0.3233041782240582,1.739911138143683,0.177257553337508,-1.1108385530375444,-1.3273689153760913,9.06294249110033,-1.263177196140459,0.0418650860228095,-1.0715033486304997
