t,x,y,z,roll,pitch,yaw,v_x,v_y,v_z,ref_x,ref_y,ref_z,ref_v_x,ref_v_y,ref_v_z,a_com,a_x,a_y,a_z,thrust,wind_x,wind_y,wind_z
0.0,0.6664085471242688,0.3532963392948081,2.668255992581294,0.0111020729251519,0.1362535363691825,0.025754102053058,0.003454396218038,0.0021207743308388,0.0070811966000633,0.6665213462207957,0.3532574405714385,2.6684792054774573,-0.0964063721058088,-0.0560133124953437,-0.092828019191086,0.4079640985500106,0.1727198109019009,0.1060387165419413,0.354059830003168,10.545444007279002,-1.2867467502043888,0.1654171707240004,-1.1696025412439788
0.02,0.6666017968373757,0.3535803354086965,2.66817374808649,0.018981098803046,0.1311598363850593,0.0262295621785781,0.0153658383628474,0.0223589317090863,-0.0163392341885433,0.6665213462207957,0.3532574405714385,2.6684792054774573,-0.0964063721058088,-0.0560133124953437,-0.092828019191086,1.6582988620569674,0.595572107240472,1.0119078689123748,-1.1710215394303354,10.545444007279002,-1.2975248080170554,0.1575201273693491,-1.1735078852446748
0.04,0.6669954616152967,0.3540806914561982,2.667547968846376,0.0335496804829286,0.1164377617795989,0.0268173135540754,0.0218617249924706,0.0255471241860925,-0.0447730624968638,0.6665213462207957,0.3532574405714385,2.6684792054774573,-0.0964063721058088,-0.0560133124953437,-0.092828019191086,1.467006907484082,0.3247943314811589,0.1594096238503125,-1.4216914154160245,9.18823429388749,-1.326450109646749,0.1437751202656037,-1.1458805423052534
0.06,0.6673860402735486,0.3545313170329852,2.666430273513837,0.0480710127977386,0.097170356973295,0.0269490281626773,0.0180961925729991,0.0213951079765416,-0.0713591776661451,0.6655572824997377,0.3526973074464851,2.6675509252855463,-0.116406372403832,-0.0671328741377521,-0.1128280194891092,1.358528609195213,-0.1882766209735729,-0.2076008104775452,-1.3293057584640635,8.972452656994847,-1.3572728951825257,0.1287027400589491,-1.1051532887811195
0.08,0.6676221371352894,0.3548792664780089,2.664715856169082,0.0628125468553248,0.0751048136347298,0.0265896445062078,0.005019534984684,0.0132723988336468,-0.0986249091611018,0.6636291550576214,0.3515770411965782,2.6656943649017246,-0.1564063729998785,-0.0893719974225688,-0.1528280200851557,1.5655649870391712,-0.6538328794157576,-0.406135457144743,-1.363286574747837,8.93572118834345,-1.3809048351284,0.1143995864494394,-1.0578687173463863
0.1,0.6675117062383497,0.3550262236361762,2.662462921762419,0.0766470770363543,0.0539948575931085,0.0258528709730214,-0.0158098921984077,0.00162324605285,-0.1252718797993609,0.6617010276155053,0.3504567749466714,2.663837804517903,-0.1964063735959249,-0.1116111207073856,-0.1928280206812021,1.7885950082972322,-1.041471359154589,-0.5824576390398358,-1.332348531912956,8.964789593313071,-1.3963605211749195,0.1013100854224231,-1.01197715861081
0.12,0.6669183628937374,0.3548935206976025,2.6596804759945187,0.0888836753670074,0.0358130016184369,0.0249120270588679,-0.0424710404657995,-0.0140564653360036,-0.1515950309530417,0.6577729001435868,0.3482245525325236,2.659981244104279,-0.2364063741919713,-0.1338502439922023,-0.2328280212772486,2.030750146394876,-1.3330574133695894,-0.7839855694426889,-1.3161575576840376,8.993460745570246,-1.4020839782525951,0.0906397857407378,-0.9695536118031288
0.14,0.6658227421983968,0.354453521208197,2.6565445946788597,0.0986960503642961,0.0221414181447983,0.0239953677564943,-0.0713519539501787,-0.0311707051303714,-0.1771169044585363,0.6538447726716683,0.3459923301183759,2.656124683690655,-0.2764063747880179,-0.1560893672770191,-0.2728280218732951,2.108536456088552,-1.4440456742189605,-0.8557119897183906,-1.276093675274731,8.993460745570246,-1.4002540520620563,0.081504899027858,-0.9290162391434702
0.16,0.6640514403005386,0.3536204956867551,2.6527137233718694,0.107063643034419,0.0119459276118203,0.0231611234622026,-0.1042036118950513,-0.0509648270185395,-0.2046050547856494,0.6489166451848486,0.3432041296221078,2.65126812326213,-0.3164063753840643,-0.1783284905618358,-0.3128280224693415,2.3593627844486598,-1.6425828972436316,-0.9897060944084028,-1.3744075163556524,8.972443134499372,-1.3959069762760024,0.0742397177680821,-0.9003791907726267
0.18,0.6615953681813798,0.3523750991619328,2.648328207122915,0.1133465623325482,0.0066805717507441,0.0226286640759966,-0.1396002232959297,-0.0720941353991034,-0.2324863719060475,0.6429885176831278,0.3398599510437192,2.645411562818704,-0.3564063759801107,-0.2005676138466525,-0.3528280230653879,2.488340619606752,-1.7698305700439183,-1.0564654190281952,-1.3940658560199062,8.947925856487473,-1.3870204462877838,0.0689145457222711,-0.8788443838956451
0.2,0.658429381882783,0.3507009155130526,2.6433846366722453,0.1177724786766771,0.0067211097715433,0.022540190021344,-0.1744832567463969,-0.0938107435786649,-0.2603328392718776,0.6546153570165832,0.3487703923919776,2.6367038885276126,-0.2396002247860458,-0.1324033741309646,-0.3324863733961636,2.4818656482005883,-1.7441516725233612,-1.0858304089780717,-1.392323368291505,8.948376845497023,-1.369018650485403,0.064970351790428,-0.8650135794770046
0.22,0.6547696761331059,0.3485562319432457,2.6383348853514668,0.1163811536650879,0.0119484077426026,0.0226710694101895,-0.2081025960049606,-0.1285646386002526,-0.2694857048885371,0.6546153570165832,0.3487703923919776,2.6367038885276126,-0.2396002247860458,-0.1324033741309646,-0.3324863733961636,2.460623975920826,-1.6809669629281807,-1.737694751079387,-0.4576432808329755,8.93131335584576,-1.3369601116924812,0.0641288690812845,-0.8619348197983915
0.24,0.6502886991898694,0.3456967093638461,2.63283749940769,0.1089369006163847,0.0221041300717892,0.0228926442598128,-0.2375233690322153,-0.154360462206884,-0.2798144314561955,0.6546153570165832,0.3487703923919776,2.6367038885276126,-0.2396002247860458,-0.1324033741309646,-0.3324863733961636,2.0234185142816696,-1.4710386513627385,-1.2897911803315705,-0.5164363283829188,9.80517854388745,-1.3133447635019722,0.068094512596358,-0.8759937453739945
0.26,0.6452790429400544,0.3424031007685634,2.627095899815115,0.0999350504157312,0.0346158478908231,0.023171238828812,-0.261424094726678,-0.1733139358558695,-0.2937480450616071,0.6522193547687228,0.347446358650668,2.633379024793651,-0.2596002250840691,-0.1444652218773368,-0.3524863736941868,1.6767710340037814,-1.195036284723132,-0.9476736824492724,-0.696680680270581,9.80517854388745,-1.2929634491723998,0.0737473211861352,-0.8886524303021238
0.28,0.6401257214177353,0.3389661930189522,2.6213503310362336,0.0915998385393926,0.0470829254419423,0.02340685163991,-0.2795143351275623,-0.187477177470839,-0.3103460215601535,0.6474273502730019,0.3447982911680487,2.626729297325728,-0.2996002256801155,-0.1685889173700812,-0.3924863742902332,1.4171688631317834,-0.9045120200442152,-0.7081620807484784,-0.829898824927322,9.332958767709895,-1.2732555487696875,0.0798802285407361,-0.9021239787557216
0.3,0.6343730278443055,0.3350867390361311,2.6149284845206395,0.0837202991067538,0.059599484514473,0.0235616644536088,-0.2945228886279155,-0.1997273600215336,-0.3311367667606587,0.642635345777281,0.3421502236854294,2.6200795698578045,-0.339600226276162,-0.1927126128628257,-0.4324863748862797,1.4208964922634544,-0.7504276750176592,-0.6125091275347313,-1.0395372600252584,9.332958767709895,-1.256093891076104,0.0856095280258702,-0.9135751248418756
0.32,0.6283553459267709,0.33098271338106,2.608058632314332,0.0769679281376748,0.0706694657612436,0.0235927244902646,-0.3063378665492695,-0.2101281571477903,-0.3549468563109412,0.6358433412517578,0.3382959714281729,2.611429842360079,-0.3796002268722084,-0.2168363083555701,-0.4724863754823261,1.427139313921476,-0.5907488960676999,-0.5200398563128344,-1.190504477514126,8.988326283110837,-1.2420734139632432,0.0907036476123761,-0.9214944170075988
0.34,0.6221289402138335,0.3266862353146407,2.6006912465032794,0.0713802502838813,0.0797824854988339,0.0234981795076206,-0.3157198739555502,-0.2191934637885953,-0.3806115994701995,0.6290513367262345,0.3344417191709164,2.602780114862353,-0.4196002274682549,-0.2409600038483146,-0.5124863760783727,1.4395145786809722,-0.469100370314035,-0.4532653320402494,-1.2832371579629132,8.988326283110837,-1.231194998654778,0.0947632163944916,-0.9257162815409464
0.36,0.6160517145180336,0.3224403334325665,2.5932050743630257,0.0669013262737406,0.0866027630529419,0.0233026120939831,-0.3235436301330043,-0.22735645620654,-0.4061248747030424,0.6212593321858101,0.3299843745263413,2.5931303873497265,-0.4596002280643013,-0.265083699341059,-0.552486376674419,1.3953250687980108,-0.3911878088727089,-0.4081496208972315,-1.2756637616421456,8.905674977154376,-1.2226459683333837,0.098413155677649,-0.9269308195884188
