t,x,y,z,roll,pitch,yaw,v_x,v_y,v_z,ref_x,ref_y,ref_z,ref_v_x,ref_v_y,ref_v_z,a_com,a_x,a_y,a_z,thrust,wind_x,wind_y,wind_z
0.0,1.001995533848225,0.549160313370163,2.4013517658567305,0.0121467325380757,0.1362890996561667,0.025761173295129,0.002906687637252,-0.0048094303586758,0.0059135193367715,1.0020871656535986,0.5489451272224237,2.401535749005892,-0.0970556609283048,-0.1064103682344736,-0.0940697088720679,0.4078883558704445,0.1453343818626024,-0.2404715179337945,0.2956759668385755,10.546901768034331,-1.2847878586705634,0.1639734852725473,-1.1659573211752077
0.02,1.0021755919175344,0.5493428738435093,2.4012392890704315,0.019165923701185,0.1311805999753369,0.0261722021065177,0.0145863196241048,0.0190401962738555,-0.0182425603489803,1.0020871656535986,0.5489451272224237,2.401535749005892,-0.0970556609283048,-0.1064103682344736,-0.0940697088720679,1.7949475477321493,0.5839815993426406,1.192481331626572,-1.2078039842875936,10.546009743655304,-1.2971843371591083,0.157176276817254,-1.1722277814638566
0.04,1.0025494136040325,0.5497731158650002,2.4005502355037383,0.0338858996665123,0.1164947879517217,0.026764218350391,0.0206811678304723,0.0218744700534422,-0.0491527187808502,1.0020871656535986,0.5489451272224237,2.401535749005892,-0.0970556609283048,-0.1064103682344736,-0.0940697088720679,1.5816274662508325,0.3047424103183755,0.1417136889793325,-1.5455079215934948,8.83783755721879,-1.3267553972571642,0.1433466185471868,-1.142955474727845
0.06,1.0029152219992792,0.550152886622017,2.399332649434573,0.0484167598122666,0.0973091998398207,0.0268904508338496,0.0167004882521911,0.0176389034781288,-0.0773646890518173,1.0011166090443155,0.547881023540079,2.4005950519171715,-0.117055661226328,-0.1264103685324968,-0.1140697091700911,1.4402266320694015,-0.1990339789140602,-0.2117783287656693,-1.410598513548355,8.83783755721879,-1.3566935943651293,0.1282800749185973,-1.1005348711806855
0.08,1.0031226507601785,0.5504254737627008,2.397485829530104,0.0631453554350548,0.0753518214824095,0.0265258896686684,0.003569081635389,0.009498731328773,-0.1057506117756264,0.9991754958257494,0.5457528161753895,2.39871365773973,-0.1570556618223745,-0.1664103691285433,-0.1540697097661376,1.615902883250569,-0.6565703308401076,-0.4070086074677866,-1.4192961361904524,8.846530388098017,-1.379843270555101,0.1140399966672446,-1.0532989207417345
0.1,1.002983886577281,0.5505028673976464,2.395084125574415,0.0771593075997743,0.0543354975521097,0.0257970915758419,-0.0171840917234383,-0.0016653694872687,-0.1329488242043393,0.9972343826071832,0.5436246088107001,2.3968322635622887,-0.1970556624184209,-0.2064103697245897,-0.194069710362184,1.7993569065152697,-1.037658667941366,-0.5582050408020898,-1.359910621435647,8.879231298893046,-1.3948969173198824,0.1008435518723165,-1.007354890435986
0.12,1.002364347631136,0.5503276445559362,2.392148767243999,0.0904864110126397,0.0361978687283169,0.0249139583115376,-0.043714774778064,-0.0155864574749704,-0.1592178804274091,0.9932932693588148,0.5394964014162082,2.392950869355045,-0.2370556630144673,-0.2464103703206362,-0.2340697109582305,1.99232097624676,-1.3265341527312855,-0.6960543993850852,-1.3134528111534884,8.982871313758096,-1.4007325709249627,0.0893315929676028,-0.965572266457806
0.14,1.0012463251539312,0.5498796473910904,2.388871401998871,0.1025463960066681,0.0225115204440633,0.0241068581153045,-0.0724678736944592,-0.0311098952138264,-0.1844350618998417,0.9893521561104464,0.5353681940217164,2.389069475147801,-0.2770556636105138,-0.2864103709166827,-0.274069711554277,2.0637490508427523,-1.437654945819759,-0.7761718869428016,-1.2608590736216312,8.982871313758096,-1.3994301400027784,0.0782908440519035,-0.9260973661617689
0.16,0.9994539530368683,0.5490658922470742,2.384900337874875,0.1146382266081392,0.0122416406268303,0.0234477584451853,-0.1051909549307413,-0.0497068601149219,-0.2113619322494406,0.9844110428471768,0.5302399866123235,2.3841880809256564,-0.3170556642065603,-0.3264103715127291,-0.3140697121503234,2.313927125015501,-1.6361540618141053,-0.9298482450547731,-1.3463435174799434,8.972696433196688,-1.3957277175993028,0.0680136093276623,-0.8988479853056275
0.18,0.9969828231466892,0.5478567193926067,2.380389077150906,0.126137228306327,0.0067240756955301,0.023164346450706,-0.1402939410753519,-0.070525469328516,-0.2384182890108147,0.978469929569006,0.5241117791880294,2.3783066866886107,-0.3570556648026067,-0.3664103721087755,-0.3540697127463698,2.4483058260028634,-1.7551493072305295,-1.0409304606797047,-1.352817838068708,8.962591374804106,-1.3884345622922452,0.0591645552843962,-0.8784438151369826
0.2,0.9938020238043436,0.5461998529289146,2.3753367295751224,0.1367785571171098,0.0065100439300032,0.0234327717802955,-0.1752496743513691,-0.0941417769722532,-0.2653768348483097,0.9899681260929216,0.544330445926181,2.3684681627003656,-0.240293942565468,-0.1705254708186321,-0.3384182905009308,2.503196191501987,-1.747786663800864,-1.1808153821868637,-1.3479272918747467,8.980841530537873,-1.369371874420241,0.0503064852544388,-0.863720669723945
0.22,0.9901273432036004,0.5440015090985283,2.3701754791139207,0.1412527714376502,0.0115546851075958,0.0240106180447525,-0.2089219256086424,-0.1330850106361458,-0.2761145821020155,0.9899681260929216,0.544330445926181,2.3684681627003656,-0.240293942565468,-0.1705254708186321,-0.3384182905009308,2.6294938529201497,-1.683612562863665,-1.947161683194626,-0.5368873626852899,8.982754500528245,-1.3371948807835403,0.0446882500138679,-0.8617811779650686
0.24,0.985630494645432,0.540984940183324,2.364532135256797,0.1398976109562283,0.0215661175741246,0.0248581600613095,-0.2382695303102607,-0.1660158226935182,-0.2877182211110464,0.9899681260929216,0.544330445926181,2.3684681627003656,-0.240293942565468,-0.1705254708186321,-0.3384182905009308,2.280550768308138,-1.467380235080913,-1.6465406028686207,-0.5801819504515471,10.007615742179496,-1.3124475377340732,0.0439343986554194,-0.8740627580989003
