t,x,y,z,roll,pitch,yaw,v_x,v_y,v_z,ref_x,ref_y,ref_z,ref_v_x,ref_v_y,ref_v_z,a_com,a_x,a_y,a_z,thrust,wind_x,wind_y,wind_z
0.0,-0.1640367185182555,-1.2179576782999568,2.302361666021508,0.0263769987710231,0.099816513142477,0.0426442491663528,0.0034690401305105,0.0079060644426123,0.0116832603444234,-0.1639277099764657,-1.2177697389122537,2.30271449162726,0.1035873685148986,0.1067504065523263,-0.0882576963082745,0.7263584973575541,0.1734520065255281,0.3953032221306151,0.584163017221174,10.241244455912238,-0.9438641840962798,0.2610719329106649,-0.8697059800656571
0.02,-0.1640677433725645,-1.218089573607112,2.302356600388414,0.0196156557428183,0.1027023613617802,0.0422432111250152,-0.0060758157629763,-0.0160125604484473,-0.0120307426763485,-0.1639277099764657,-1.2177697389122537,2.30271449162726,0.1035873685148986,0.1067504065523263,-0.0882576963082745,1.7503991187553745,-0.4772427946743435,-1.1959312445529844,-1.185700151038602,10.240422101655897,-0.926729914600102,0.262547674016905,-0.8896240639999523
0.04,-0.1642662376458194,-1.2184631964271382,2.301783842413651,0.0038160068342461,0.1100378150526904,0.0412461356927429,-0.0127642617004796,-0.0188634034665693,-0.0442788187239909,-0.1639277099764657,-1.2177697389122537,2.30271449162726,0.1035873685148986,0.1067504065523263,-0.0882576963082745,1.6528770551279726,-0.334422296875168,-0.1425421509061003,-1.61240380238212,8.917770175624355,-0.9142966238147464,0.269112926897258,-0.906899980230986
0.06,-0.1645547534111944,-1.2187826011436111,2.3005605729483936,-0.013330162636811,0.1194893464646849,0.0400403070863506,-0.0153427388541899,-0.0125119263239963,-0.0764192212457973,-0.1628918362913167,-1.2167022348467302,2.301831914664177,0.1235873688129218,0.1267504068503495,-0.1082576966062977,1.6431640823336633,-0.1289238576855159,0.3175738571286529,-1.607020126090319,8.579518718147938,-0.8983564209726558,0.2764717407111207,-0.9281002154998456
0.08,-0.164856007147767,-1.2189281144247086,2.2987133246449294,-0.029996430300652,0.129738423422023,0.038706044572094,-0.0143297695776558,-0.0020050849944261,-0.1067916977086418,-0.1608200889210188,-1.2145672267156835,2.300066760738012,0.1635873694089683,0.1667504074463959,-0.1482576972023441,1.607721328438182,0.0506484638267076,0.52534206647851,-1.5186238231422275,8.579518718147938,-0.8814042350356973,0.2842746349046782,-0.948690962147958
0.1,-0.1650940589531487,-1.2188411036059577,2.296411057955007,-0.0451348620835294,0.1395605057294495,0.0373428339772187,-0.0105389212700956,0.0109281678797996,-0.1341193879607176,-0.1587483415507208,-1.2124322185846372,2.2983016068118465,0.2035873700050147,0.2067504080424424,-0.1882576977983906,1.5235174886697196,0.1895424153780071,0.6466626437112908,-1.3663845126037857,8.701451873563201,-0.8627170556408059,0.2935184824943404,-0.9691268897321282
0.12,-0.1652408884359991,-1.2184372714400578,2.293435992786665,-0.0597769870277889,0.1496313478172897,0.035872871743274,-0.0040700368648848,0.028804793758362,-0.161962045880176,-0.1546765941506205,-1.2082972104237883,2.294536452855879,0.2435873706010611,0.2467504086384888,-0.228257698394437,1.6857000165139466,0.3234442202605433,0.8938312939281184,-1.3921328959729222,8.821367646454291,-0.8437605754071436,0.3032745922981108,-0.9877700942391736
0.14,-0.1652345265439409,-1.2176398933781567,2.289907568413159,-0.0724938240560778,0.1592528723476011,0.0344463624536357,0.0046314267581714,0.0499089022481623,-0.1895253033580411,-0.1506048467505202,-1.2041622022629397,2.290771298899911,0.2835873711971076,0.2867504092345354,-0.2682576989904836,1.789435684177922,0.435073181152814,1.0552054244900169,-1.3781628738932572,8.916882852519848,-0.8246163515542682,0.3125674156996506,-1.0051981300490802
0.16,-0.1650324612163103,-1.2163857687294066,2.2858309739531206,-0.0828146416816799,0.1683530077302817,0.0331357864011364,0.0153787392609644,0.07392238684209,-0.2168021686931589,-0.1455330993355187,-1.1990271940871895,2.286006144929042,0.323587371793154,0.3267504098305818,-0.30825769958653,1.8948479826134077,0.5373656251396495,1.2006742296963826,-1.3638432667558875,8.974703903268164,-0.8078909250671771,0.3203636670875577,-1.0193665544727697
0.18,-0.1646229788459815,-1.214733251149311,2.281456040956904,-0.0903558508105999,0.1764969219398577,0.032034287655742,0.0273861760154215,0.0983224438295301,-0.2423795419731983,-0.1394613519056161,-1.1928921858965384,2.280240990943272,0.3635873723892004,0.3667504104266282,-0.3482577001825764,1.866643607058592,0.6003718377228526,1.2200028493720074,-1.2788686640019684,9.033457406431808,-0.7905230389133561,0.3271068015452453,-1.03348878047
0.2,-0.1639268674481715,-1.212487611715512,2.276327872755147,-0.0962129044274553,0.1845471603851016,0.0310325438416026,0.0418053603896827,0.1246498520002686,-0.2690940837787035,-0.1632536700452105,-1.2098171289578346,2.269337063858244,0.12488027157931,0.1983224453196463,-0.3423795434633144,2.009173986297413,0.720959218713064,1.3163704085369246,-1.3357270902752614,9.13621731911462,-0.7737097100179205,0.3323584446584622,-1.0467449458289952
0.22,-0.1629086505973598,-1.2095789037531206,2.27076558582115,-0.0963820717181907,0.1920534414494793,0.0304739334035017,0.0596627195430622,0.1635025884776999,-0.2851138961739327,-0.1632536700452105,-1.2098171289578346,2.269337063858244,0.12488027157931,0.1983224453196463,-0.3423795434633144,2.283120012666791,0.8928679576689746,1.942636823871563,-0.8009906197614602,9.13621731911462,-0.7607185322883625,0.3329116882599499,-1.0566580808211428
0.24,-0.1615109246246081,-1.205974588815373,2.2649010756999317,-0.0903028232330244,0.1990224801474033,0.030445560099788,0.0794376855861283,0.1936106684854117,-0.3005148776611982,-0.1632536700452105,-1.2098171289578346,2.269337063858244,0.12488027157931,0.1983224453196463,-0.3423795434633144,1.9587853344140904,0.988748302153306,1.5054040003855906,-0.7700490743632743,9.796245564770288,-0.7470377148911925,0.3289950875242425,-1.0668100320634517
0.26,-0.1598037114691778,-1.2020620142884355,2.259032451429984,-0.0830266693782093,0.2051899008601315,0.0306189989116417,0.0994263824891605,0.2164481168298355,-0.3164692346305027,-0.1620048673294173,-1.207833904504638,2.265913268423611,0.1443790906920877,0.2183224456176695,-0.3623795437613377,1.714379302451406,0.9994348451516074,1.1418724172211916,-0.7977178484652236,9.796245564770288,-0.735325451939428,0.3239075378426231,-1.0743339298406935
0.28,-0.157585005733257,-1.197513582336667,2.252512283357347,-0.0755165528955809,0.2112508465101352,0.0308820882207148,0.1215196364357368,0.2371173808402237,-0.3348032119468143,-0.1595072618978311,-1.2038674555982452,2.2590656775543447,0.1833767289176431,0.258322446213716,-0.4023795443573841,1.7688026097575598,1.1046626973288134,1.0334632005194064,-0.9166988658155796,9.615766599382368,-0.7253596423959482,0.3185399634724402,-1.0807724928108693
0.3,-0.1549141660856506,-1.1925743976065122,2.245610570957457,-0.0688001416889164,0.2169092897346071,0.0311690973802133,0.1445848186012309,0.2558442730458839,-0.3544778512077607,-0.1570096564662449,-1.1999010066918523,2.2522180866850783,0.2223743671431985,0.2983224468097624,-0.4423795449534305,1.7817060293846323,1.1532591082747077,0.9363446102830104,-0.9837319630473212,9.615766599382368,-0.7169773053874288,0.313713548809195,-1.085928264264596
0.32,-0.1517720506703228,-1.1872750872662263,2.23830476312464,-0.063002386579873,0.2221961921010644,0.0314583225393124,0.1685873027703135,0.2732642193234181,-0.3751508688357039,-0.152562169123381,-1.193934557755657,2.2433704957860097,0.261372005368754,0.3383224474058088,-0.482379545549477,1.8075863965828105,1.2001242084541313,0.8709973138767119,-1.0336508813971603,9.555746288043338,-0.7094750634584509,0.3099050460074128,-1.0902938152632111
0.34,-0.1483326851267727,-1.1819272933153868,2.2309784395016994,-0.0583402746412564,0.226895545783937,0.0317256102579569,0.192340915025849,0.2889149671603212,-0.3950339565689195,-0.148114681780517,-1.1879681088194618,2.234522904886941,0.3003696435943094,0.3783224480018554,-0.5223795461455235,1.7353077398889505,1.1876806127767716,0.7825373918451534,-0.994154386660781,9.511084972983554,-0.7021702278750748,0.306497485193709,-1.0945601000491374
0.36,-0.1442153381970081,-1.1759763865892885,2.222855950856963,-0.0540288362179333,0.2315212792426768,0.0320114244232575,0.2182501502554595,0.3053061312194704,-0.4161914374261833,-0.1426922534820141,-1.1810016598683657,2.224675313972971,0.3393672818198648,0.4183224485979018,-0.5623795467415699,1.8625236412074853,1.2954617614805235,0.81955820295746,-1.0578740428631883,9.508740468641008,-0.6950549835153568,0.3036032940183833,-1.098660853956032
0.38,-0.1395631075372204,-1.169700685534805,2.2143092739969643,-0.0499988978763309,0.2356167331962924,0.0323301512591382,0.2457098543982237,0.3213433360844038,-0.4374278260846754,-0.1362948842278724,-1.1730352109023678,2.2138277230441004,0.3783649200454202,0.4583224491939482,-0.6023795473376163,1.911943706508196,1.3729852071382125,0.8018602432466715,-1.0618194329246045,9.507305232776162,-0.6887854284063544,0.3007481958780911,-1.1026442669892909
0.4,-0.1346169701642333,-1.163446718736691,2.205795098748419,-0.0462952603547141,0.2385389224872683,0.032690623728072,0.2734841204788792,0.3360623818474648,-0.4577305916798151,-0.1272776148173092,-1.1536335187305848,2.1924378826927304,0.261993625421378,0.4213433375745199,-0.5328773407717367,1.871004045496244,1.3887133040327737,0.7359522881530495,-1.0151382797569886,9.518058799037137,-0.6834016392628359,0.2979783046394002,-1.1058417176343989
0.42,-0.1286152094060739,-1.1565631033730388,2.1965743176152563,-0.0427418581790235,0.2346636959054473,0.0333684511695127,0.3248727340065969,0.3516200857878077,-0.4621726028378415,-0.1272776148173092,-1.1536335187305848,2.1924378826927304,0.261993625421378,0.4213433375745199,-0.5328773407717367,2.693772083586752,2.5694306763858865,0.7778851970171419,-0.2221005579013196,10.847360112200477,-0.6876820468643176,0.2914533302250262,-1.1083236311218534
0.44,-0.1216315494395629,-1.1493829594906864,2.1872853096209925,-0.0399653333675096,0.2194046017992819,0.0344533756660319,0.3693231035837713,0.3657631564200446,-0.4664553931925007,-0.1272776148173092,-1.1536335187305848,2.1924378826927304,0.261993625421378,0.4213433375745199,-0.5328773407717367,2.342116615199698,2.22251847885872,0.7071535316118482,-0.2141395177329558,10.847360112200477,-0.7030921888017209,0.2972810751692859,-1.0879973402316248
0.46,-0.114278313510661,-1.1423016929841046,2.178354923471903,-0.0380385114643168,0.1980694813479365,0.0356666736131444,0.4012990475594247,0.3789928755436859,-0.473096344773363,-0.1246576785630954,-1.1494200853548395,2.187109109285013,0.2652503796260088,0.4413433378725431,-0.551967243709149,1.7618092257136675,1.598797198782667,0.6614859561820619,-0.3320475790431154,10.532001625647354,-0.7285276268168707,0.3034150360563927,-1.060502948974733
0.48,-0.1059969851317989,-1.1345832603085402,2.1687940261354,-0.0366116257553304,0.1718541315291693,0.0370019017305628,0.4240481582621559,0.3921425307716661,-0.4826569855166326,-0.1194178060546678,-1.1409932186033491,2.1764515624695786,0.2717638880352706,0.4813433384685896,-0.5901470495839735,1.3980712801943758,1.1374555351365612,0.6574827613990114,-0.4780320371634838,9.93762320420501,-0.7570812424629773,0.3085336925816878,-1.0317379527669024
0.5,-0.0973707626787106,-1.1266104699383268,2.159008804310814,-0.0359303428287781,0.1445718508485733,0.0382958676050282,0.4365734798879786,0.4044852833183531,-0.4954642120459278,-0.1141779335462403,-1.132566351851859,2.165794015654144,0.2782773964445322,0.521343339064636,-0.628326855458798,1.0877181087392696,0.6262660812911353,0.6171376273343521,-0.6403613264647584,9.67877398784276,-0.7864376524635662,0.3129833554872366,-1.0025120556315497
0.52,-0.0885926950796297,-1.11839908135505,2.148928656031401,-0.0361567400809,0.1183898161675231,0.039484525521831,0.4401000465513541,0.416116911982706,-0.511845764600318,-0.1086123856173496,-1.1221394850705662,2.153227478544968,0.2847909048537939,0.5613433396606825,-0.6665066613336225,1.019910194464293,0.1763283331687765,0.5815814332176455,-0.8190776277195111,9.67877398784276,-0.8130077915783206,0.3163950414401456,-0.9763143884261016
0.54,-0.080259628563865,-1.1103869911810638,2.1390265997064155,-0.0373317849287326,0.0959070436968284,0.0404847132776026,0.4366517709815847,0.426780575600418,-0.529645366327791,-0.103046837688459,-1.1117126182892736,2.140660941435792,0.2913044132630557,0.601343340256729,-0.7046864672084471,1.0517011788210568,-0.1724137784884699,0.5331831808855964,-0.8899800863736484,9.454414162314606,-0.8369258321417763,0.3189971055806132,-0.9534561762693072
0.56,-0.071614768627968,-1.1017263029640547,2.128218281851884,-0.0393822570896661,0.0755774028874515,0.0414042352359968,0.4277561041742773,0.4387814464798708,-0.5503439035739182,-0.0973184520493368,-1.1002857514930795,2.1271399091797454,0.2978179216723173,0.6413433408527753,-0.7428662730832716,1.276306422789255,-0.4447833403653733,0.6000435439726393,-1.0349268623063568,9.315548047989978,-0.8568140540678898,0.3209139231645168,-0.9351131775405088
0.58,-0.0631936909318468,-1.0928107547718806,2.1169772376761484,-0.0416287668625779,0.0590493799609174,0.0422147143970073,0.4146891936163442,0.4521870459304946,-0.5727975296588801,-0.0914272286999831,-1.0878588846819846,2.112664381776828,0.3043314300815791,0.6813433414488218,-0.7810460789580961,1.4616938569027296,-0.6533455278966538,0.6702799725311903,-1.1226813042480963,9.20716055417006,-0.8725477472641017,0.3220614050597472,-0.921372961008688
0.6,-0.0550679773448285,-1.0836173594450424,2.1052710670646406,-0.0434521602515147,0.0464782761195539,0.0429314922646173,0.3986828832859236,0.4663323180622093,-0.5966845937629801,-0.0424592312510296,-1.070201402475356,2.0883373611932043,0.3368535145620839,0.5521870474206108,-0.5986729099216126,1.602250390534652,-0.8003155165210274,0.7072636065857396,-1.194353205205001,9.12517484976297,-0.8840384955797587,0.322250612098119,-0.9122406025868118
0.62,-0.0475335772401977,-1.0745464931611337,2.0941172560054597,-0.0430149455462677,0.0344219430591916,0.0437841598852742,0.394210208464068,0.4869975857586501,-0.5761082931577571,-0.0424592312510296,-1.070201402475356,2.0883373611932043,0.3368535145620839,0.5521870474206108,-0.5986729099216126,1.47516291949747,-0.2236337410927824,1.033263384822039,1.0288150302611487,9.06409834969918,-0.8930618632896349,0.3115196810168485,-0.9217074554873872
0.64,-0.0397561504870162,-1.0646028196747193,2.0827960638782512,-0.0395639591770431,0.0191101133863989,0.0449651122562158,0.3830295997705482,0.505721037153425,-0.5574628434188651,-0.0424592312510296,-1.070201402475356,2.0883373611932043,0.3368535145620839,0.5521870474206108,-0.5986729099216126,1.4345961442646975,-0.5590304346759889,0.9361725697387412,0.932272486944602,11.793938377666564,-0.9121949358275268,0.3173831803563767,-0.8883296590214689
